No.&H&convolution&di&dx&dy&fix_seed&m&reg&reg_dist_params&reg_parameterized&runcount&start_params_complex&stride&width&x_dist_params&x_parameterized&y_dist_params&y_parameterized&variables&n&CBB&BKK&N_C&N_DM&N_R&Real_sols&All_sols&L_values&Idx_vals
1&1&false&1&1&2&false&1&true&Any[0, 1]&true&100&true&1&1&Any[0, 1]&true&Any[0, 1]&true&Variable[w111, w211, w221]&3&27&9&9&13&3&Any[[0.0, 0.0, 2.491798737774392e-206], [5.182054467800759, 1.2716202418089453, -0.3699270229331428], [-5.18205446780076, -1.2716202418089453, 0.36992702293314284]]&Vector{ComplexF64}[[-1.2714713029778177 + 4.1899042230549455im, -1.0938779009207837 - 2.0293505955628524im, 0.7873433481857857 - 0.5985037171422033im], [1.271471302977818 - 4.1899042230549455im, 1.0938779009207835 + 2.0293505955628524im, -0.7873433481857856 + 0.5985037171422033im], [0.0 + 0.0im, 0.0 + 0.0im, 2.491798737774392e-206 + 0.0im], [-4.203895392974451e-45 + 8.187550362575317im, -3.503246160812043e-46 - 1.0494148679190132im, 7.006492321624085e-46 + 0.9244915919061425im], [1.401298464324817e-45 - 8.187550362575317im, -3.503246160812043e-46 + 1.0494148679190132im, -5.254869241218064e-46 - 0.9244915919061425im], [1.2714713029778177 + 4.1899042230549455im, 1.0938779009207837 - 2.0293505955628524im, -0.7873433481857856 - 0.5985037171422033im], [-1.2714713029778177 - 4.1899042230549455im, -1.0938779009207835 + 2.029350595562852im, 0.7873433481857856 + 0.5985037171422032im], [5.182054467800759 + 0.0im, 1.2716202418089453 - 3.587324068671532e-43im, -0.3699270229331428 + 3.587324068671532e-43im], [-5.18205446780076 - 7.52316384526264e-37im, -1.2716202418089453 + 1.88079096131566e-37im, 0.36992702293314284 - 4.70197740328915e-38im]]&Any[0.6184632834325132, 0.07287720591863521, 0.07287720591863517]&Any[1, 0, 0]
2&1&false&1&1&2&false&1&true&Any[0, 1]&true&100&true&1&1&Any[0, 1]&true&Any[0, 1]&true&Variable[w111, w211, w221]&3&27&9&9&13&3&Any[[-7.475396213323176e-206, -2.491798737774392e-206, -4.983597475548784e-206], [0.4391773567783488, 0.10454870968564207, 0.20169600620342779], [-0.4391773567783488, -0.10454870968564206, -0.20169600620342779]]&Vector{ComplexF64}[[0.14907235145670614 - 0.9214199147656897im, 0.41960554948999024 - 0.47086120199494214im, 0.5534646624529796 + 0.6952366584471428im], [-0.14907235145670614 + 0.9214199147656897im, -0.41960554948999 + 0.47086120199494186im, -0.5534646624529793 - 0.6952366584471426im], [-7.475396213323176e-206 - 2.491798737774392e-206im, -2.491798737774392e-206 - 6.22949684443598e-207im, -4.983597475548784e-206 - 1.245899368887196e-206im], [1.5407439555097887e-33 - 1.4861538781198742im, -3.0814879110195774e-33 + 0.5397120875178385im, 1.5407439555097887e-33 + 0.3220003135091811im], [0.0 + 1.4861538781198742im, 0.0 - 0.5397120875178385im, 0.0 - 0.3220003135091811im], [0.4391773567783488 + 0.0im, 0.10454870968564207 - 7.52316384526264e-37im, 0.20169600620342779 - 1.504632769052528e-36im], [-0.4391773567783488 + 4.70197740328915e-38im, -0.10454870968564206 + 5.877471754111438e-39im, -0.20169600620342779 - 5.877471754111438e-39im], [0.1490723514567061 + 0.9214199147656897im, 0.4196055494899901 + 0.470861201994942im, 0.5534646624529795 - 0.6952366584471427im], [-0.1490723514567061 - 0.9214199147656897im, -0.41960554948999007 - 0.470861201994942im, -0.5534646624529795 + 0.6952366584471426im]]&Any[0.09689844300406696, 0.07538443871969608, 0.07538443871969608]&Any[1, 1, 1]
3&1&false&1&1&2&false&1&true&Any[0, 1]&true&100&true&1&1&Any[0, 1]&true&Any[0, 1]&true&Variable[w111, w211, w221]&3&27&9&9&13&3&Any[[0.0, 0.0, 0.0], [0.83026873196247, -1.0117227569821934, -0.6390097565811128], [-0.83026873196247, 1.0117227569821934, 0.6390097565811128]]&Vector{ComplexF64}[[0.1459391901913286 + 0.7979835766720548im, -2.4089508895209355 + 2.7954849917594977im, -1.8056619210845275 - 1.768717502877915im], [-0.14593919019132864 - 0.7979835766720549im, 2.4089508895209346 - 2.7954849917594973im, 1.8056619210845275 + 1.7687175028779138im], [0.0 + 2.7605428043986463e-207im, 0.0 - 1.245899368887196e-206im, 0.0 + 1.245899368887196e-206im], [0.83026873196247 - 1.925929944387236e-34im, -1.0117227569821934 + 1.925929944387236e-34im, -0.6390097565811128 + 0.0im], [-0.83026873196247 + 1.2037062152420224e-35im, 1.0117227569821934 - 3.009265538105056e-36im, 0.6390097565811128 - 1.2037062152420224e-35im], [2.1895288505075267e-47 + 1.484693371480606im, 4.3790577010150533e-47 + 1.1374361389283867im, -3.8316754883881717e-47 + 1.4836309459896921im], [-1.7516230804060213e-46 - 1.484693371480606im, 1.7516230804060213e-46 - 1.1374361389283867im, -1.7516230804060213e-46 - 1.4836309459896921im], [0.14593919019132864 - 0.7979835766720549im, -2.4089508895209346 - 2.7954849917594973im, -1.8056619210845273 + 1.768717502877914im], [-0.14593919019132856 + 0.7979835766720549im, 2.408950889520935 + 2.795484991759497im, 1.805661921084527 - 1.7687175028779145im]]&Any[1.4239272668559826, 0.8598491452405037, 0.8598491452405037]&Any[1, 0, 0]
4&1&false&1&1&2&false&1&true&Any[0, 1]&true&100&true&1&1&Any[0, 1]&true&Any[0, 1]&true&Variable[w111, w211, w221]&3&27&9&9&13&3&Any[[-1.4316705851169536, -0.2316548805099334, -1.6611514778349843], [1.4316705851169536, 0.23165488050993344, 1.6611514778349843], [4.4066937487056266e-207, 0.0, 1.245899368887196e-206]]&Vector{ComplexF64}[[-1.4316705851169536 - 5.739718509874451e-41im, -0.2316548805099334 - 2.8698592549372254e-42im, -1.6611514778349843 + 6.887662211849341e-41im], [1.4316705851169536 - 2.2958874039497803e-41im, 0.23165488050993344 + 0.0im, 1.6611514778349843 + 6.887662211849341e-41im], [4.4066937487056266e-207 + 0.0im, 0.0 + 0.0im, 1.245899368887196e-206 + 0.0im], [-7.034223667492579e-47 + 2.2260265507482835im, 3.503246160812043e-46 - 1.0011606482051945im, -3.503246160812043e-46 - 1.6607371592930098im], [1.7516230804060213e-46 - 2.2260265507482835im, -3.503246160812043e-46 + 1.0011606482051945im, 7.006492321624085e-46 + 1.6607371592930098im], [0.27223828249174215 + 1.5539928390050364im, 0.97960978541573 + 0.6129334039724736im, 0.8017458889691967 - 2.5860332244394737im], [-0.2722382824917421 - 1.5539928390050364im, -0.9796097854157301 - 0.6129334039724735im, -0.8017458889691965 + 2.586033224439474im], [0.2722382824917421 - 1.5539928390050364im, 0.9796097854157302 - 0.6129334039724735im, 0.8017458889691966 + 2.586033224439474im], [-0.27223828249174203 + 1.5539928390050364im, -0.9796097854157301 + 0.6129334039724735im, -0.8017458889691965 - 2.586033224439474im]]&Any[0.1967728335939507, 0.19677283359395067, 1.2013275751982477]&Any[0, 0, 1]
5&1&false&1&1&2&false&1&true&Any[0, 1]&true&100&true&1&1&Any[0, 1]&true&Any[0, 1]&true&Variable[w111, w211, w221]&3&27&9&9&13&3&Any[[0.0, 0.0, -7.373675137909365e-205], [0.6185489161211634, 0.7915073767976984, 0.4059135218645], [-0.6185489161211634, -0.7915073767976984, -0.4059135218645]]&Vector{ComplexF64}[[-0.09290919172977903 - 0.4987147898782704im, -1.5061795089402112 + 2.172127550797825im, -1.3824821110109238 - 1.0610289021799928im], [0.09290919172977904 + 0.4987147898782704im, 1.5061795089402112 - 2.1721275507978253im, 1.382482111010924 + 1.0610289021799928im], [0.0 + 6.614049442924008e-206im, 0.0 + 3.986877980439027e-205im, -7.373675137909365e-205 + 0.0im], [0.09290919172977899 - 0.49871478987827034im, 1.5061795089402112 + 2.1721275507978253im, 1.3824821110109242 - 1.0610289021799928im], [-0.09290919172977903 + 0.4987147898782704im, -1.5061795089402112 - 2.1721275507978253im, -1.382482111010924 + 1.0610289021799928im], [2.407412430484045e-34 - 0.9410470032882388im, 3.851859888774472e-34 + 0.8672652724516688im, -1.925929944387236e-34 + 0.8264532117931467im], [-4.81482486096809e-35 + 0.9410470032882386im, -4.81482486096809e-35 - 0.8672652724516687im, 0.0 - 0.8264532117931467im], [0.6185489161211634 + 4.484155085839415e-44im, 0.7915073767976984 - 6.726232628759122e-44im, 0.4059135218645 + 0.0im], [-0.6185489161211634 + 2.2420775429197073e-44im, -0.7915073767976984 + 3.363116314379561e-44im, -0.4059135218645 + 0.0im]]&Any[0.7635350902247127, 0.32155754863533503, 0.32155754863533503]&Any[1, 0, 0]
6&1&false&1&1&2&false&1&true&Any[0, 1]&true&100&true&1&1&Any[0, 1]&true&Any[0, 1]&true&Variable[w111, w211, w221]&3&27&9&9&13&1&Any[[0.0, 0.0, -1.557374211108995e-207]]&Vector{ComplexF64}[[-0.03435433220603701 + 1.0627864351586056im, 3.9113105877698477 + 3.1669886967065386im, -2.880146736778504 + 3.7649540540277386im], [0.034354332206037015 - 1.0627864351586056im, -3.9113105877698553 - 3.166988696706537im, 2.8801467367785016 - 3.7649540540277457im], [0.0 - 7.786871055544975e-208im, 0.0 + 0.0im, -1.557374211108995e-207 - 1.557374211108995e-207im], [-1.5407439555097887e-33 + 0.7177562536496472im, -7.703719777548943e-34 - 0.5578758194845884im, -2.311115933264683e-33 + 0.5616241876716196im], [3.0814879110195774e-33 - 0.7177562536496472im, -1.5407439555097887e-33 + 0.5578758194845883im, 3.0814879110195774e-33 - 0.5616241876716196im], [0.034354332206037015 + 1.0627864351586056im, -3.9113105877698526 + 3.1669886967065337im, 2.8801467367784985 + 3.764954054027743im], [-0.03435433220603713 - 1.0627864351586056im, 3.911310587769844 - 3.166988696706536im, -2.8801467367785016 - 3.764954054027735im], [-5.605193857299268e-45 - 1.354667143709145im, -2.2420775429197073e-44 - 0.7707068436524205im, -1.6815581571897805e-44 + 1.2539393744006346im], [-5.605193857299268e-45 + 1.354667143709145im, 2.2420775429197073e-44 + 0.7707068436524207im, -3.363116314379561e-44 - 1.2539393744006349im]]&Any[0.16476990120950563]&Any[0]
7&1&false&1&1&2&false&1&true&Any[0, 1]&true&100&true&1&1&Any[0, 1]&true&Any[0, 1]&true&Variable[w111, w211, w221]&3&27&9&9&13&3&Any[[0.0, 2.736261513942097e-206, -1.9934389902195135e-205], [0.44174239472413956, 0.062286744898004884, -0.36601823987196325], [-0.44174239472413956, -0.062286744898004884, 0.36601823987196325]]&Vector{ComplexF64}[[0.02106502620607871 - 0.7870103594697456im, 2.6711650447789035 + 0.36955479350587833im, -0.2905484641809048 + 2.253043059919998im], [-0.02106502620607872 + 0.7870103594697456im, -2.6711650447789035 - 0.36955479350587844im, 0.29054846418090485 - 2.253043059919998im], [0.0 + 7.973755960878054e-205im, 2.736261513942097e-206 + 2.189009211153678e-205im, -1.9934389902195135e-205 - 3.986877980439027e-205im], [7.52316384526264e-37 - 1.4411094471459895im, 7.52316384526264e-37 + 0.11266981022968481im, 7.993361585591555e-37 - 1.2018468129317446im], [7.52316384526264e-37 + 1.4411094471459895im, -7.52316384526264e-37 - 0.11266981022968481im, -1.6456920911512025e-37 + 1.2018468129317446im], [-0.021065026206078714 - 0.7870103594697455im, -2.671165044778902 + 0.36955479350587817im, 0.29054846418090463 + 2.2530430599199973im], [0.02106502620607872 + 0.7870103594697455im, 2.671165044778902 - 0.3695547935058782im, -0.29054846418090463 - 2.2530430599199973im], [0.44174239472413956 - 2.7550648847397363e-40im, 0.062286744898004884 - 4.591774807899561e-41im, -0.36601823987196325 + 1.8367099231598242e-40im], [-0.44174239472413956 + 1.1754943508222875e-37im, -0.062286744898004884 + 1.7632415262334313e-38im, 0.36601823987196325 - 7.052966104933725e-38im]]&Any[0.33478451197348535, 0.28587625051073784, 0.28587625051073784]&Any[1, 0, 0]
8&1&false&1&1&2&false&1&true&Any[0, 1]&true&100&true&1&1&Any[0, 1]&true&Any[0, 1]&true&Variable[w111, w211, w221]&3&27&9&9&13&3&Any[[0.0, 0.0, 0.0], [-0.8696341362918055, 0.20848800110826562, 1.375426197899531], [0.8696341362918055, -0.20848800110826562, -1.375426197899531]]&Vector{ComplexF64}[[-7.52316384526264e-37 - 2.645500497112472im, 3.76158192263132e-37 - 1.4244059661594493im, 1.504632769052528e-36 - 0.7655223063326885im], [0.0 + 2.645500497112472im, -3.76158192263132e-37 + 1.4244059661594493im, 0.0 + 0.7655223063326885im], [0.0 + 9.967194951097568e-206im, 0.0 - 9.967194951097568e-206im, 0.0 + 0.0im], [0.20993163700080048 - 1.405517105989332im, -0.23804775527280395 + 0.6226751478022763im, -0.38260784913103973 - 1.6397588754380192im], [-0.20993163700080042 + 1.405517105989332im, 0.23804775527280392 - 0.6226751478022763im, 0.3826078491310397 + 1.6397588754380195im], [-0.20993163700080045 - 1.405517105989332im, 0.23804775527280397 + 0.6226751478022763im, 0.38260784913103973 - 1.6397588754380195im], [0.20993163700080045 + 1.4055171059893323im, -0.23804775527280392 - 0.6226751478022763im, -0.3826078491310397 + 1.6397588754380192im], [-0.8696341362918055 + 1.88079096131566e-37im, 0.20848800110826562 - 4.70197740328915e-38im, 1.375426197899531 + 1.88079096131566e-37im], [0.8696341362918055 - 4.81482486096809e-35im, -0.20848800110826562 + 0.0im, -1.375426197899531 - 3.611118645726067e-35im]]&Any[0.5283698026790652, 0.2272945035296145, 0.2272945035296145]&Any[1, 0, 0]
9&1&false&1&1&2&false&1&true&Any[0, 1]&true&100&true&1&1&Any[0, 1]&true&Any[0, 1]&true&Variable[w111, w211, w221]&3&27&9&9&13&1&Any[[3.378971185385354e-210, 0.0, -2.4333972048578046e-209]]&Vector{ComplexF64}[[0.10198780625266318 + 4.392402005308782im, 5.596835010855021 + 7.046933673566032im, -6.3760510196968445 + 6.7965774789840525im], [-0.10198780625266333 - 4.392402005308782im, -5.59683501085503 - 7.046933673566004im, 6.376051019696816 - 6.796577478984066im], [3.378971185385354e-210 - 7.786871055544975e-208im, 0.0 - 3.11474842221799e-207im, -2.4333972048578046e-209 + 9.733588819431218e-209im], [0.0 + 4.854171725972112im, -9.62964972193618e-35 - 4.765783365279118im, -7.703719777548943e-34 + 2.534883989448697im], [-7.222237291452134e-35 - 4.854171725972112im, -5.7777898331617076e-34 + 4.765783365279117im, 0.0 - 2.534883989448699im], [-0.10198780625266339 + 4.3924020053087816im, -5.596835010855023 + 7.04693367356602im, 6.376051019696832 + 6.796577478984056im], [0.10198780625266311 - 4.3924020053087816im, 5.596835010855024 - 7.046933673566024im, -6.3760510196968365 - 6.796577478984057im], [0.0 - 3.9428702027295506im, 3.76158192263132e-37 - 2.4364828421624094im, 3.76158192263132e-37 + 3.78420559901755im], [2.367633885323211e-41 + 3.9428702027295506im, 1.3775324423698682e-40 + 2.4364828421624076im, -9.183549615799121e-41 - 3.7842055990175507im]]&Any[0.3019335615950436]&Any[0]
10&1&false&1&1&2&false&1&true&Any[0, 1]&true&100&true&1&1&Any[0, 1]&true&Any[0, 1]&true&Variable[w111, w211, w221]&3&27&9&9&13&3&Any[[0.0, 0.0, 0.0], [0.6941846741512905, -0.9426358935690944, -0.3013636589915841], [-0.6941846741512905, 0.9426358935690944, 0.3013636589915842]]&Vector{ComplexF64}[[1.925929944387236e-34 - 1.1488633988758452im, -7.462978534500539e-34 - 1.3530502792276684im, -7.703719777548943e-34 - 0.7731399602281985im], [0.0 + 1.1488633988758452im, -6.7407548053553255e-34 + 1.3530502792276684im, 7.703719777548943e-34 + 0.7731399602281985im], [0.0 - 3.0802241894266566e-206im, 0.0 + 9.967194951097568e-206im, 0.0 - 9.967194951097568e-206im], [0.6941846741512905 + 0.0im, -0.9426358935690944 + 0.0im, -0.3013636589915841 + 0.0im], [-0.6941846741512905 - 8.407790785948902e-45im, 0.9426358935690944 + 2.2420775429197073e-44im, 0.3013636589915842 + 1.401298464324817e-45im], [0.07179798589119231 - 0.7446402939435666im, -1.5165933269461938 - 3.5196119020842627im, -2.578251407843427 + 1.2242636704504901im], [-0.07179798589119231 + 0.7446402939435665im, 1.5165933269461938 + 3.519611902084263im, 2.5782514078434273 - 1.22426367045049im], [0.07179798589119235 + 0.7446402939435666im, -1.5165933269461935 + 3.519611902084263im, -2.578251407843427 - 1.2242636704504897im], [-0.07179798589119235 - 0.7446402939435665im, 1.516593326946194 - 3.519611902084262im, 2.5782514078434255 + 1.2242636704504901im]]&Any[0.5401210488807512, 0.21738947484728097, 0.21738947484728097]&Any[1, 0, 0]
11&1&false&1&1&2&false&1&true&Any[0, 1]&true&100&true&1&1&Any[0, 1]&true&Any[0, 1]&true&Variable[w111, w211, w221]&3&27&9&9&13&1&Any[[0.0, 0.0, 0.0]]&Vector{ComplexF64}[[3.851859888774472e-34 + 66.64264156411258im, -1.2037062152420224e-35 - 1.634459865093557im, 5.7777898331617076e-34 + 61.65496576309021im], [-1.925929944387236e-34 - 66.64264156411257im, -4.81482486096809e-35 + 1.6344598650935576im, -1.1555579666323415e-33 - 61.65496576309021im], [0.0 + 0.0im, 0.0 + 0.0im, 0.0 + 4.6270461409975375e-179im], [2.9582283945787943e-31 + 90.4724445521558im, -1.9721522630525295e-31 - 60.98308580638174im, -1.5407439555097887e-32 + 0.5960315740379477im], [-9.860761315262648e-32 - 90.4724445521558im, 4.930380657631324e-32 + 60.98308580638174im, 1.5407439555097887e-32 - 0.5960315740379476im], [-9.860761315262648e-32 + 92.02177539012922im, 4.930380657631324e-32 + 62.02762602654784im, 6.379642940782719e-34 + 0.5639527992414732im], [-2.465190328815662e-32 - 92.02177539012922im, -7.395570986446986e-32 - 62.02762602654784im, 1.0592614694129797e-33 - 0.5639527992414732im], [-1.4791141972893971e-31 - 66.23849225265553im, 2.1570415377137042e-32 + 1.602399478628397im, 0.0 + 61.28216378454772im], [-7.395570986446986e-32 + 66.23849225265553im, 9.244463733058732e-33 - 1.6023994786283968im, 4.930380657631324e-32 - 61.28216378454773im]]&Any[0.4648795436344358]&Any[0]
