No.&H&convolution&di&dx&dy&fix_seed&m&reg&reg_dist_params&reg_parameterized&runcount&start_params_complex&stride&width&x_dist_params&x_parameterized&y_dist_params&y_parameterized&variables&n&CBB&BKK&N_C&N_DM&N_R&Real_sols&All_sols&L_values&Idx_vals
1&1&false&1&4&1&false&1&true&Any[0, 1]&true&100&true&1&1&Any[0, 1]&true&Any[0, 1]&true&Variable[w111, w112, w113, w114, w211]&5&243&17&5&39&3&Any[[-0.23929429374399316, -0.4548826456794256, 0.42089216769478255, 0.336668618875137, -0.6351168518966839], [0.23929429374399314, 0.4548826456794256, -0.4208921676947825, -0.336668618875137, 0.6351168518966839], [0.0, 0.0, 0.0, 0.0, 0.0]]&Vector{ComplexF64}[[-1.2037062152420224e-35 - 0.35513987569449573im, 7.52316384526264e-37 - 0.6750974447180264im, 0.0 + 0.624651719759883im, 3.009265538105056e-36 + 0.4996544196138195im, -1.504632769052528e-36 + 0.9425854511824512im], [-3.573502826499754e-36 + 0.3551398756944958im, 5.64237288394698e-36 + 0.6750974447180264im, 1.88079096131566e-36 - 0.624651719759883im, -7.52316384526264e-37 - 0.49965441961381957im, 4.513898307157584e-36 - 0.9425854511824513im], [-0.23929429374399316 + 2.1895288505075267e-47im, -0.4548826456794256 - 4.3790577010150533e-47im, 0.42089216769478255 - 2.1895288505075267e-47im, 0.336668618875137 + 0.0im, -0.6351168518966839 + 4.3790577010150533e-47im], [0.23929429374399314 - 2.6963019221421302e-33im, 0.4548826456794256 - 2.6963019221421302e-33im, -0.4208921676947825 - 5.585196838722984e-33im, -0.336668618875137 + 7.125940794232773e-33im, 0.6351168518966839 + 1.232595164407831e-32im], [0.0 + 0.0im, 0.0 + 0.0im, 0.0 - 1.3007796349561859e-259im, 0.0 + 0.0im, 0.0 + 6.503898174780929e-260im]]&Any[0.47332735944755794, 0.47332735944755794, 0.8528991972654634]&Any[0, 0, 1]
2&1&false&1&4&1&false&1&true&Any[0, 1]&true&100&true&1&1&Any[0, 1]&true&Any[0, 1]&true&Variable[w111, w112, w113, w114, w211]&5&243&17&5&39&3&Any[[0.0728414333820401, -0.27215444233307046, -0.10576659567233436, 0.24026990579627758, -0.3075146507868395], [-0.0728414333820401, 0.27215444233307046, 0.10576659567233437, -0.24026990579627758, 0.3075146507868395], [0.0, 0.0, 0.0, 0.0, 0.0]]&Vector{ComplexF64}[[2.204051907791789e-39 - 0.13031323011593704im, -8.816207631167156e-39 + 0.48688394536135415im, 3.6734198463196485e-40 + 0.18921630287174554im, 0.0 - 0.4298425507327368im, 7.346839692639297e-40 - 0.5501433125544172im], [-6.612155723375367e-39 + 0.13031323011593704im, -8.081523661903227e-39 - 0.4868839453613542im, -3.3060778616876836e-39 - 0.18921630287174557im, -7.346839692639297e-40 + 0.42984255073273675im, 1.4693679385278594e-39 + 0.5501433125544172im], [0.0728414333820401 + 0.0im, -0.27215444233307046 + 2.350988701644575e-38im, -0.10576659567233436 + 1.4693679385278594e-38im, 0.24026990579627758 - 1.1754943508222875e-38im, -0.3075146507868395 + 1.1754943508222875e-38im], [-0.0728414333820401 + 0.0im, 0.27215444233307046 + 2.350988701644575e-38im, 0.10576659567233437 + 1.7632415262334313e-38im, -0.24026990579627758 - 5.877471754111438e-39im, 0.3075146507868395 + 1.1754943508222875e-38im], [0.0 + 0.0im, 0.0 + 0.0im, 0.0 + 0.0im, 0.0 + 0.0im, 0.0 + 0.0im]]&Any[0.08619127888644576, 0.08619127888644575, 0.13962300531458438]&Any[0, 0, 1]
3&1&false&1&4&1&false&1&true&Any[0, 1]&true&100&true&1&1&Any[0, 1]&true&Any[0, 1]&true&Variable[w111, w112, w113, w114, w211]&5&243&17&5&39&3&Any[[0.5910247048681023, 0.5599202628794369, -0.19242221630031714, -0.09101057426745174, -0.9753692344271863], [-0.5910247048681023, -0.5599202628794371, 0.19242221630031714, 0.09101057426745177, 0.9753692344271864], [2.0812474159298974e-258, -7.325925335133966e-259, 0.0, 0.0, 3.114785685896983e-259]]&Vector{ComplexF64}[[3.0814879110195774e-33 - 0.758209874774947im, -3.4666738998970245e-33 - 0.718306813412336im, 3.274080905458301e-33 + 0.24685334356292327im, 9.62964972193618e-35 + 0.11675504517856031im, 0.0 - 1.2512752495843855im], [-1.925929944387236e-33 + 0.7582098747749472im, 1.0785207688568521e-32 + 0.7183068134123357im, -3.177784408238939e-33 - 0.24685334356292338im, -1.1555579666323415e-33 - 0.11675504517856028im, -6.162975822039155e-33 + 1.2512752495843855im], [0.5910247048681023 - 3.76158192263132e-37im, 0.5599202628794369 + 1.88079096131566e-37im, -0.19242221630031714 + 0.0im, -0.09101057426745174 + 1.88079096131566e-37im, -0.9753692344271863 + 7.52316384526264e-37im], [-0.5910247048681023 - 8.816207631167156e-39im, -0.5599202628794371 + 2.938735877055719e-39im, 0.19242221630031714 - 1.4693679385278594e-39im, 0.09101057426745177 + 7.346839692639297e-40im, 0.9753692344271864 + 1.7632415262334313e-38im], [2.0812474159298974e-258 + 0.0im, -7.325925335133966e-259 + 7.325925335133966e-259im, 0.0 + 0.0im, 0.0 + 0.0im, 3.114785685896983e-259 - 3.114785685896983e-259im]]&Any[0.3984850066821879, 0.3984850066821878, 1.3545843066758219]&Any[0, 0, 1]
4&1&false&1&4&1&false&1&true&Any[0, 1]&true&100&true&1&1&Any[0, 1]&true&Any[0, 1]&true&Variable[w111, w112, w113, w114, w211]&5&243&17&5&39&3&Any[[0.037062438268904596, -0.01600686307850627, -0.003419797229355526, 0.9543800815927673, 0.2513049533572298], [-0.037062438268904596, 0.01600686307850627, 0.0034197972293555264, -0.9543800815927674, -0.25130495335722985], [1.6259745436952323e-260, 2.0324681796190404e-261, 1.5167476869921873e-262, -4.232864360616025e-260, -7.754541418745539e-262]]&Vector{ComplexF64}[[0.037062438268904596 - 3.0828566215145976e-44im, -0.01600686307850627 + 1.401298464324817e-45im, -0.003419797229355526 - 7.006492321624085e-46im, 0.9543800815927673 - 1.793662034335766e-43im, 0.2513049533572298 + 4.484155085839415e-44im], [-0.037062438268904596 + 1.401298464324817e-45im, 0.01600686307850627 - 3.5032461608120427e-45im, 0.0034197972293555264 - 1.7516230804060213e-46im, -0.9543800815927674 - 1.793662034335766e-43im, -0.25130495335722985 + 2.802596928649634e-44im], [-2.1215322043640645e-34 + 0.03973728080903098im, 9.46037853541777e-35 - 0.017162098413691793im, 1.5563545204887087e-35 - 0.003666608274039586im, -1.8055593228630336e-34 + 1.0232588861433962im, -9.62964972193618e-35 - 0.2694419462584328im], [5.491909607041727e-35 - 0.03973728080903104im, 4.890056499420716e-36 + 0.017162098413691772im, -2.82118644197349e-37 + 0.0036666082740395853im, -2.407412430484045e-34 - 1.0232588861433962im, -4.513898307157584e-35 + 0.2694419462584329im], [1.6259745436952323e-260 + 0.0im, 2.0324681796190404e-261 + 0.0im, 1.5167476869921873e-262 + 0.0im, -4.232864360616025e-260 + 0.0im, -7.754541418745539e-262 + 0.0im]]&Any[0.0037407111758136565, 0.003740711175813654, 0.13841624029774394]&Any[0, 0, 1]
5&1&false&1&4&1&false&1&true&Any[0, 1]&true&100&true&1&1&Any[0, 1]&true&Any[0, 1]&true&Variable[w111, w112, w113, w114, w211]&5&243&17&5&39&3&Any[[0.13170387670477848, -1.4994558767010981, 0.11206743636830611, 0.7459864902970943, -0.47742264732526307], [-0.1317038767047785, 1.4994558767010984, -0.11206743636830611, -0.7459864902970941, 0.4774226473252631], [-6.595736340067465e-229, 2.638294536026986e-228, 3.606641294756764e-229, 1.319147268013493e-228, -3.2978681700337323e-229]]&Vector{ComplexF64}[[-2.2958874039497803e-40 + 0.16292991451949698im, -1.4693679385278594e-39 - 1.8549660338722826im, -1.8367099231598242e-40 + 0.13863781602143843im, 2.0203809154758067e-39 + 0.9228544985752508im, -9.183549615799121e-40 + 0.5906161083833514im], [6.428484731059385e-40 - 0.16292991451949698im, 5.142787784847508e-39 + 1.8549660338722826im, 1.8367099231598242e-40 - 0.13863781602143843im, -1.4693679385278594e-39 - 0.9228544985752507im, 7.346839692639297e-40 - 0.5906161083833514im], [0.13170387670477848 - 1.925929944387236e-33im, -1.4994558767010981 - 3.0814879110195774e-33im, 0.11206743636830611 + 1.925929944387236e-33im, 0.7459864902970943 - 2.311115933264683e-32im, -0.47742264732526307 - 3.0814879110195774e-33im], [-0.1317038767047785 - 1.316553672920962e-36im, 1.4994558767010984 + 2.256949153578792e-36im, -0.11206743636830611 - 4.70197740328915e-37im, -0.7459864902970941 + 4.513898307157584e-36im, 0.4774226473252631 + 1.128474576789396e-36im], [-6.595736340067465e-229 - 1.5829767216161915e-227im, 2.638294536026986e-228 - 2.1106356288215886e-227im, 3.606641294756764e-229 + 0.0im, 1.319147268013493e-228 + 0.0im, -3.2978681700337323e-229 + 0.0im]]&Any[0.13551101991972914, 0.13551101991972916, 0.6097195268180223]&Any[0, 0, 1]
6&1&false&1&4&1&false&1&true&Any[0, 1]&true&100&true&1&1&Any[0, 1]&true&Any[0, 1]&true&Variable[w111, w112, w113, w114, w211]&5&243&17&4&39&2&Any[[-0.01237375767929917, -0.019483317726698816, -0.04990338288352513, 0.4820200143680242, -0.2767882797285883], [0.012373757679299173, 0.01948331772669882, 0.049903382883525145, -0.4820200143680241, 0.2767882797285883]]&Vector{ComplexF64}[[-4.513898307157584e-36 - 0.019093127374901986im, -9.027796614315168e-36 - 0.030063419430290297im, 1.2037062152420224e-35 - 0.07700261072896775im, 9.62964972193618e-35 + 0.7437732150660663im, 0.0 + 0.42709369438995337im], [0.0 + 0.019093127374901986im, 2.407412430484045e-35 + 0.030063419430290297im, 3.851859888774472e-34 + 0.07700261072896775im, -7.703719777548943e-34 - 0.7437732150660664im, 3.851859888774472e-34 - 0.42709369438995337im], [-0.01237375767929917 - 7.52316384526264e-36im, -0.019483317726698816 + 1.504632769052528e-36im, -0.04990338288352513 - 6.018531076210112e-36im, 0.4820200143680242 + 1.4444474582904269e-34im, -0.2767882797285883 - 5.567141245494354e-35im], [0.012373757679299173 + 4.70197740328915e-38im, 0.01948331772669882 - 4.70197740328915e-38im, 0.049903382883525145 - 3.76158192263132e-37im, -0.4820200143680241 - 1.504632769052528e-36im, 0.2767882797285883 + 3.76158192263132e-37im]]&Any[0.013985498739967881, 0.013985498739967888]&Any[0, 0]
7&1&false&1&4&1&false&1&true&Any[0, 1]&true&100&true&1&1&Any[0, 1]&true&Any[0, 1]&true&Variable[w111, w112, w113, w114, w211]&5&243&17&5&39&3&Any[[-0.7290672900948094, 0.38407529670288815, 0.3324503595194767, 0.05925807771129676, 0.4441629767317874], [0.7290672900948095, -0.38407529670288815, -0.3324503595194767, -0.05925807771129675, -0.4441629767317874], [0.0, 6.595736340067465e-229, -6.595736340067465e-229, 0.0, 0.0]]&Vector{ComplexF64}[[-0.7290672900948094 - 1.5407439555097887e-33im, 0.38407529670288815 - 6.7407548053553255e-34im, 0.3324503595194767 + 9.62964972193618e-35im, 0.05925807771129676 + 3.611118645726067e-35im, 0.4441629767317874 - 2.8888949165808538e-34im], [0.7290672900948095 + 9.62964972193618e-34im, -0.38407529670288815 - 1.925929944387236e-34im, -0.3324503595194767 + 9.62964972193618e-34im, -0.05925807771129675 + 9.62964972193618e-35im, -0.4441629767317874 + 0.0im], [3.851859888774472e-34 - 0.857025829515658im, -6.7407548053553255e-34 + 0.45148432006935907im, 3.851859888774472e-34 + 0.3907986944564571im, -4.81482486096809e-35 + 0.0696584579997041im, 9.62964972193618e-35 - 0.5221179838203994im], [3.851859888774472e-34 + 0.857025829515658im, 3.851859888774472e-34 - 0.4514843200693591im, -9.62964972193618e-35 - 0.39079869445645715im, 0.0 - 0.0696584579997041im, -1.925929944387236e-34 + 0.5221179838203994im], [0.0 + 0.0im, 6.595736340067465e-229 + 0.0im, -6.595736340067465e-229 - 8.244670425084331e-230im, 0.0 - 1.567385550242977e-230im, 0.0 - 1.883318508792529e-230im]]&Any[0.11801121282428265, 0.11801121282428262, 0.6497958646673467]&Any[0, 0, 1]
8&1&false&1&4&1&false&1&true&Any[0, 1]&true&100&true&1&1&Any[0, 1]&true&Any[0, 1]&true&Variable[w111, w112, w113, w114, w211]&5&243&17&5&39&3&Any[[-0.6112200676948729, -0.09202588805666785, 0.47323121099089566, 0.06020847866697753, -1.2033513566257044], [0.6112200676948729, 0.09202588805666785, -0.4732312109908956, -0.06020847866697755, 1.2033513566257044], [8.244670425084331e-230, 0.0, 1.6489340850168661e-229, 0.0, 0.0]]&Vector{ComplexF64}[[0.0 + 0.7603855748373987im, 2.2420775429197073e-44 + 0.11448439193724863im, 1.3452465257518244e-43 - 0.5887211585794094im, 5.605193857299268e-45 - 0.07490208695852185im, -8.96831017167883e-44 - 1.4970238403494016im], [-8.96831017167883e-44 - 0.7603855748373988im, 0.0 - 0.11448439193724855im, 8.96831017167883e-44 + 0.5887211585794092im, 1.1210387714598537e-44 + 0.07490208695852181im, -2.6904930515036488e-43 + 1.4970238403494016im], [-0.6112200676948729 - 5.510129769479473e-40im, -0.09202588805666785 - 9.183549615799121e-41im, 0.47323121099089566 + 0.0im, 0.06020847866697753 - 6.887662211849341e-41im, -1.2033513566257044 + 9.183549615799121e-40im], [0.6112200676948729 + 0.0im, 0.09202588805666785 - 5.739718509874451e-42im, -0.4732312109908956 + 5.739718509874451e-42im, -0.06020847866697755 + 4.304788882405838e-42im, 1.2033513566257044 + 5.739718509874451e-42im], [8.244670425084331e-230 + 0.0im, 0.0 + 0.0im, 1.6489340850168661e-229 + 0.0im, 0.0 + 0.0im, 0.0 + 0.0im]]&Any[0.26770562631923, 0.2677056263192301, 1.2286582121553904]&Any[0, 0, 1]
9&1&false&1&4&1&false&1&true&Any[0, 1]&true&100&true&1&1&Any[0, 1]&true&Any[0, 1]&true&Variable[w111, w112, w113, w114, w211]&5&243&17&5&39&3&Any[[0.06652564449943996, 0.04191026405179061, 0.014830823310467022, 0.5503392602720999, 0.5099518643583061], [-0.06652564449943993, -0.041910264051790595, -0.014830823310467018, -0.5503392602720999, -0.5099518643583061], [0.0, 0.0, 0.0, 1.2131513612955725e-229, 0.0]]&Vector{ComplexF64}[[0.06652564449943996 - 1.5407439555097887e-33im, 0.04191026405179061 + 1.1555579666323415e-33im, 0.014830823310467022 - 4.81482486096809e-35im, 0.5503392602720999 + 2.1570415377137042e-32im, 0.5099518643583061 + 3.697785493223493e-32im], [-0.06652564449943993 + 1.925929944387236e-33im, -0.041910264051790595 - 9.62964972193618e-34im, -0.014830823310467018 - 1.925929944387236e-34im, -0.5503392602720999 - 1.232595164407831e-32im, -0.5099518643583061 + 0.0im], [-2.204051907791789e-39 + 0.0911042294022627im, -1.4693679385278594e-39 + 0.05739444298831074im, -9.183549615799121e-40 + 0.02031022381320315im, -2.938735877055719e-38 + 0.7536677711904468im, -2.938735877055719e-38 - 0.6983588356667745im], [8.816207631167156e-39 - 0.09110422940226272im, 1.4693679385278594e-39 - 0.05739444298831074im, 7.346839692639297e-40 - 0.02031022381320315im, 3.5264830524668625e-38 - 0.7536677711904469im, 2.350988701644575e-38 + 0.6983588356667746im], [0.0 + 1.6489340850168661e-229im, 0.0 + 8.62532099878435e-230im, 0.0 + 3.0522501974922834e-230im, 1.2131513612955725e-229 + 0.0im, 0.0 + 3.195212566279465e-229im]]&Any[0.02035012635058715, 0.02035012635058715, 0.11474899732587682]&Any[0, 0, 1]
10&1&false&1&4&1&false&1&true&Any[0, 1]&true&100&true&1&1&Any[0, 1]&true&Any[0, 1]&true&Variable[w111, w112, w113, w114, w211]&5&243&17&5&39&3&Any[[0.009867700718206087, -0.01084960972111479, 0.0006823813150520616, -0.40820172806795063, -0.298978516539228], [-0.009867700718206094, 0.010849609721114793, -0.0006823813150520622, 0.4082017280679506, 0.298978516539228], [0.0, 0.0, 0.0, 0.0, 0.0]]&Vector{ComplexF64}[[0.009867700718206087 - 3.76158192263132e-36im, -0.01084960972111479 - 1.504632769052528e-36im, 0.0006823813150520616 - 2.350988701644575e-37im, -0.40820172806795063 + 2.407412430484045e-35im, -0.298978516539228 + 1.4444474582904269e-34im], [-0.009867700718206094 + 6.018531076210112e-36im, 0.010849609721114793 + 2.256949153578792e-36im, -0.0006823813150520622 - 1.410593220986745e-37im, 0.4082017280679506 - 4.81482486096809e-35im, 0.298978516539228 + 1.4444474582904269e-34im], [2.1064858766735392e-35 + 0.011922445042044982im, -3.009265538105056e-35 - 0.013108816260404782im, 1.692711865184094e-36 + 0.0008244730924414993im, -4.81482486096809e-34 - 0.4932012844672781im, -2.046300565911438e-34 + 0.36123460104686894im], [-1.2037062152420224e-35 - 0.011922445042044982im, 7.824090399073146e-35 + 0.013108816260404782im, -1.88079096131566e-36 - 0.0008244730924414993im, -1.925929944387236e-34 + 0.4932012844672781im, -4.092601131822876e-34 - 0.36123460104686894im], [0.0 + 0.0im, 0.0 + 0.0im, 0.0 + 0.0im, 0.0 - 1.6752582397785624e-231im, 0.0 + 0.0im]]&Any[0.0017562708769003471, 0.0017562708769003482, 0.029285901739156912]&Any[0, 0, 1]
11&1&false&1&4&1&false&1&true&Any[0, 1]&true&100&true&1&1&Any[0, 1]&true&Any[0, 1]&true&Variable[w111, w112, w113, w114, w211]&5&243&17&5&39&3&Any[[-0.17101751115887953, 0.027460460761376457, 0.4024524698773887, 0.001718037801198619, -0.1419317850069457], [0.17101751115887953, -0.02746046076137645, -0.40245246987738875, -0.0017180378011986187, 0.1419317850069457], [2.5705443673936777e-258, -5.2031185398247434e-259, -1.2562970441312374e-258, -1.3007796349561859e-259, 1.0406237079649487e-258]]&Vector{ComplexF64}[[2.938735877055719e-38 + 0.2873920973453637im, 7.346839692639297e-40 - 0.046146849868200064im, -1.1754943508222875e-38 - 0.6763147154704644im, -4.591774807899561e-41 - 0.002887134093223832im, 2.938735877055719e-39 - 0.23851401588473822im], [1.1754943508222875e-38 - 0.28739209734536375im, -7.346839692639297e-40 + 0.046146849868200064im, 1.1754943508222875e-38 + 0.6763147154704645im, 4.591774807899561e-41 + 0.002887134093223832im, -4.408103815583578e-39 + 0.23851401588473822im], [-0.17101751115887953 - 2.802596928649634e-45im, 0.027460460761376457 + 3.503246160812043e-46im, 0.4024524698773887 + 0.0im, 0.001718037801198619 + 0.0im, -0.1419317850069457 - 7.006492321624085e-46im], [0.17101751115887953 + 2.802596928649634e-45im, -0.02746046076137645 - 1.7516230804060213e-46im, -0.40245246987738875 - 8.407790785948902e-45im, -0.0017180378011986187 - 1.0947644252537633e-47im, 0.1419317850069457 + 2.1019476964872256e-45im], [2.5705443673936777e-258 + 0.0im, -5.2031185398247434e-259 + 2.0812474159298974e-258im, -1.2562970441312374e-258 + 4.162494831859795e-258im, -1.3007796349561859e-259 + 6.503898174780929e-260im, 1.0406237079649487e-258 - 2.0812474159298974e-258im]]&Any[0.01485416447525493, 0.01485416447525493, 0.032693297027607364]&Any[0, 0, 1]
