No.&H&convolution&di&dx&dy&fix_seed&m&reg&reg_dist_params&reg_parameterized&runcount&start_params_complex&stride&width&x_dist_params&x_parameterized&y_dist_params&y_parameterized&variables&n&CBB&BKK&N_C&N_DM&N_R&Real_sols&All_sols&L_values&Idx_vals
1&1&false&1&1&2&false&2&true&Any[0, 1]&true&100&true&1&1&Any[0, 1]&true&Any[0, 1]&true&Variable[w111, w211, w221]&3&27&9&9&13&3&Any[[0.0, 0.0, 0.0], [-0.9756409900308873, -1.2771406477910137, 0.4361082088301731], [0.9756409900308873, 1.2771406477910137, -0.4361082088301731]]&Vector{ComplexF64}[[-0.11451947645237072 - 0.282397675072692im, -2.2417500539423822 + 4.0534070613159665im, 1.2567496723022629 + 0.708195002507318im], [-0.11451947645237072 + 0.282397675072692im, -2.2417500539423822 - 4.0534070613159665im, 1.2567496723022629 - 0.708195002507318im], [0.0 + 1.9684510049367384e-205im, 0.0 + 2.5516019074809773e-203im, 0.0 + 0.0im], [-1.83850358519416e-42 - 1.0690861747420124im, -2.3317606446364956e-42 + 1.1979897870064509im, 1.1434595468890507e-42 - 0.5281518546861795im], [4.259947331547444e-43 + 1.0690861747420122im, 3.587324068671532e-43 - 1.1979897870064509im, -4.932570594423356e-43 + 0.5281518546861795im], [-0.9756409900308873 - 2.2958874039497803e-41im, -1.2771406477910137 + 4.591774807899561e-41im, 0.4361082088301731 - 5.739718509874451e-42im], [0.11451947645237072 + 0.282397675072692im, 2.2417500539423822 - 4.0534070613159665im, -1.2567496723022629 - 0.7081950025073181im], [0.1145194764523707 - 0.282397675072692im, 2.241750053942382 + 4.0534070613159665im, -1.2567496723022629 + 0.708195002507318im], [0.9756409900308873 + 2.0089014784560578e-41im, 1.2771406477910137 - 3.156845180430948e-41im, -0.4361082088301731 + 6.457183323608757e-42im]]&Any[3.3372200134238184, 1.8760313926210923, 1.8760313926210923]&Any[1, 0, 0]
2&1&false&1&1&2&false&2&true&Any[0, 1]&true&100&true&1&1&Any[0, 1]&true&Any[0, 1]&true&Variable[w111, w211, w221]&3&27&9&9&13&3&Any[[0.0, 0.0, 0.0], [-0.8528169612811193, 0.6788762808339814, 0.5596261554156424], [0.8528169612811193, -0.6788762808339814, -0.5596261554156424]]&Vector{ComplexF64}[[-0.02956489774103361 - 0.4811388782307665im, 4.64875072367899 + 5.999391436352084im, 6.799379709402193 - 5.288452892862461im], [-2.407412430484045e-35 + 1.1104912335047055im, 2.407412430484045e-35 + 0.9197858147479334im, 0.0 + 0.6691400112727593im], [0.0 + 0.0im, 0.0 + 0.0im, 0.0 + 0.0im], [0.029564897741033627 - 0.4811388782307665im, -4.64875072367899 + 5.999391436352084im, -6.799379709402193 - 5.288452892862461im], [-0.0295648977410336 + 0.4811388782307665im, 4.648750723678988 - 5.9993914363520915im, 6.7993797094022 + 5.288452892862459im], [-0.8528169612811193 - 7.222237291452134e-35im, 0.6788762808339814 - 2.407412430484045e-35im, 0.5596261554156424 + 0.0im], [0.029564897741033602 + 0.4811388782307665im, -4.64875072367899 - 5.999391436352089im, -6.7993797094021975 + 5.288452892862461im], [-9.4039548065783e-38 - 1.1104912335047055im, 0.0 - 0.9197858147479334im, 4.513898307157584e-36 - 0.6691400112727593im], [0.8528169612811193 + 6.018531076210112e-35im, -0.6788762808339814 + 4.81482486096809e-35im, -0.5596261554156424 + 0.0im]]&Any[2.840656102760015, 1.8840065575575413, 1.8840065575575413]&Any[1, 0, 0]
3&1&false&1&1&2&false&2&true&Any[0, 1]&true&100&true&1&1&Any[0, 1]&true&Any[0, 1]&true&Variable[w111, w211, w221]&3&27&9&9&13&3&Any[[1.2247689155908691e-201, -8.165126103939127e-202, -3.572242670473368e-202], [-0.4746469189661367, 0.4971920778821049, 0.3011517138835344], [0.47464691896613664, -0.49719207788210484, -0.30115171388353434]]&Vector{ComplexF64}[[0.06070248735376585 - 0.7469975149954913im, -2.3703902866219244 - 3.1209738843021775im, -2.556512660763928 + 2.067395744900959im], [-2.1895288505075267e-47 + 1.142052789599296im, 2.699435769848368e-47 + 0.953476182374328im, -1.0947644252537633e-47 + 0.9456345233385254im], [1.2247689155908691e-201 + 0.0im, -8.165126103939127e-202 + 0.0im, -3.572242670473368e-202 + 0.0im], [-0.060702487353765856 - 0.7469975149954913im, 2.370390286621923 - 3.1209738843021784im, 2.556512660763929 + 2.0673957449009577im], [0.06070248735376582 + 0.7469975149954914im, -2.370390286621924 + 3.12097388430218im, -2.5565126607639304 - 2.067395744900959im], [-0.4746469189661367 + 6.018531076210112e-35im, 0.4971920778821049 - 7.222237291452134e-35im, 0.3011517138835344 - 4.81482486096809e-35im], [-0.060702487353765835 + 0.7469975149954913im, 2.370390286621926 + 3.1209738843021784im, 2.556512660763929 - 2.067395744900961im], [6.842277657836021e-49 - 1.1420527895992962im, 5.473822126268817e-48 - 0.953476182374328im, -2.7369110631344083e-48 - 0.9456345233385256im], [0.47464691896613664 - 9.62964972193618e-35im, -0.49719207788210484 + 0.0im, -0.30115171388353434 + 7.703719777548943e-34im]]&Any[0.6133606112910142, 0.5132667946908047, 0.5132667946908047]&Any[1, 0, 0]
4&1&false&1&1&2&false&2&true&Any[0, 1]&true&100&true&1&1&Any[0, 1]&true&Any[0, 1]&true&Variable[w111, w211, w221]&3&27&9&9&13&3&Any[[0.0, 0.0, 0.0], [-0.7597070769231842, 0.3356294296232522, 0.6116517685411428], [0.7597070769231842, -0.33562942962325215, -0.6116517685411428]]&Vector{ComplexF64}[[0.04226941274692028 + 0.4790549236841384im, -2.9718734622846816 - 1.8515276243128729im, -2.2433093489806 + 3.646811188673564im], [-7.222237291452134e-35 - 0.9922825599538784im, 0.0 - 0.5040985169728817im, 0.0 - 0.7388778754112297im], [0.0 + 0.0im, 0.0 + 0.0im, 0.0 + 0.0im], [-0.7597070769231842 + 1.232595164407831e-32im, 0.3356294296232522 - 3.0814879110195774e-33im, 0.6116517685411428 + 1.3096323621833204e-32im], [0.7597070769231842 + 0.0im, -0.33562942962325215 + 3.0814879110195774e-33im, -0.6116517685411428 + 3.274080905458301e-33im], [0.042269412746920254 - 0.4790549236841384im, -2.9718734622846847 + 1.851527624312873im, -2.2433093489806 - 3.646811188673568im], [-0.04226941274692026 - 0.4790549236841384im, 2.971873462284683 + 1.851527624312871im, 2.243309348980598 - 3.646811188673566im], [1.504632769052528e-36 + 0.9922825599538784im, 6.018531076210112e-36 + 0.5040985169728817im, 0.0 + 0.7388778754112297im], [-0.04226941274692024 + 0.4790549236841384im, 2.971873462284684 - 1.8515276243128729im, 2.2433093489806 + 3.646811188673567im]]&Any[1.091795600332393, 0.6288035423475377, 0.6288035423475377]&Any[1, 0, 0]
5&1&false&1&1&2&false&2&true&Any[0, 1]&true&100&true&1&1&Any[0, 1]&true&Any[0, 1]&true&Variable[w111, w211, w221]&3&27&9&9&13&3&Any[[-1.754226311393172e-203, -1.1163258345229276e-203, 3.508452622786344e-203], [0.1453115656838482, 0.08988281151162529, -0.27671122148622107], [-0.1453115656838481, -0.08988281151162522, 0.27671122148622085]]&Vector{ComplexF64}[[0.17061606442444036 - 1.0975547007638489im, 0.9316900136176484 - 1.3024124730666833im, -1.1710619805436817 - 2.139718957755721im], [0.17061606442444033 + 1.0975547007638489im, 0.9316900136176486 + 1.3024124730666833im, -1.1710619805436815 + 2.1397189577557216im], [-1.754226311393172e-203 + 1.2758009537404886e-202im, -1.1163258345229276e-203 + 8.292706199313176e-203im, 3.508452622786344e-203 - 2.5516019074809773e-202im], [0.1453115656838482 + 2.311115933264683e-33im, 0.08988281151162529 + 7.703719777548943e-34im, -0.27671122148622107 - 6.162975822039155e-33im], [-0.1453115656838481 + 4.622231866529366e-33im, -0.08988281151162522 + 3.4666738998970245e-33im, 0.27671122148622085 - 9.244463733058732e-33im], [3.3703774026776627e-34 + 1.6980937100338436im, 7.703719777548943e-34 - 2.1121194359944075im, -1.2037062152420224e-34 + 1.0442455015885117im], [-0.1706160644244403 + 1.0975547007638489im, -0.9316900136176485 + 1.3024124730666835im, 1.171061980543682 + 2.139718957755721im], [-0.17061606442444033 - 1.0975547007638486im, -0.9316900136176484 - 1.3024124730666833im, 1.1710619805436817 - 2.139718957755721im], [-3.851859888774472e-34 - 1.6980937100338438im, 3.0814879110195774e-33 + 2.1121194359944075im, 1.925929944387236e-34 - 1.0442455015885115im]]&Any[2.393394517855469, 2.3852078318229184, 2.3852078318229184]&Any[1, 1, 1]
6&1&false&1&1&2&false&2&true&Any[0, 1]&true&100&true&1&1&Any[0, 1]&true&Any[0, 1]&true&Variable[w111, w211, w221]&3&27&9&9&13&3&Any[[-1.2808967876802602, 0.8419096904252312, -1.2629817749919647], [0.0, 0.0, 0.0], [1.2808967876802602, -0.8419096904252312, 1.2629817749919647]]&Vector{ComplexF64}[[-1.2808967876802602 + 1.2037062152420224e-35im, 0.8419096904252312 - 9.62964972193618e-35im, -1.2629817749919647 + 0.0im], [-0.156030607900544 - 0.587196799836108im, 3.483849016268368 - 2.0103385167205015im, -1.0145245660430862 - 1.853333041988778im], [0.0 + 0.0im, 0.0 + 0.0im, 0.0 + 0.0im], [-0.15603060790054402 + 0.5871967998361081im, 3.4838490162683677 + 2.010338516720502im, -1.0145245660430864 + 1.8533330419887775im], [0.156030607900544 - 0.587196799836108im, -3.4838490162683686 - 2.010338516720502im, 1.0145245660430864 - 1.853333041988778im], [-1.128474576789396e-36 - 1.916498312412906im, 6.58276836460481e-37 - 0.7078574219050596im, -5.64237288394698e-37 + 1.9613905019056828im], [1.2808967876802602 + 2.350988701644575e-37im, -0.8419096904252312 + 0.0im, 1.2629817749919647 + 3.76158192263132e-37im], [0.15603060790054402 + 0.587196799836108im, -3.4838490162683677 + 2.010338516720502im, 1.0145245660430864 + 1.8533330419887775im], [1.88079096131566e-37 + 1.916498312412906im, -1.6456920911512025e-37 + 0.7078574219050595im, 7.052966104933725e-38 - 1.961390501905683im]]&Any[2.4339255556885906, 4.070188024014916, 2.4339255556885906]&Any[0, 1, 0]
7&1&false&1&1&2&false&2&true&Any[0, 1]&true&100&true&1&1&Any[0, 1]&true&Any[0, 1]&true&Variable[w111, w211, w221]&3&27&9&9&13&3&Any[[0.0, 0.0, 0.0], [-0.8225749049534632, -0.7646350359566947, -0.013994818754970597], [0.8225749049534632, 0.7646350359566948, 0.013994818754970597]]&Vector{ComplexF64}[[0.004797542132445082 - 0.561422885107643im, 0.062485661776361535 + 2.603714365383913im, 1.7574164484643795 - 0.04456923569613489im], [-2.2420775429197073e-44 + 0.9881065603326782im, 4.484155085839415e-44 - 0.9181011421008484im, -1.6815581571897805e-44 - 0.025228978020131815im], [0.0 - 2.5160737381238802e-234im, 0.0 - 1.0064294952495521e-233im, 0.0 + 0.0im], [-0.004797542132445084 - 0.561422885107643im, -0.06248566177636158 + 2.603714365383913im, -1.7574164484643795 - 0.044569235696134926im], [0.004797542132445089 + 0.5614228851076432im, 0.06248566177636156 - 2.603714365383911im, 1.7574164484643782 + 0.04456923569613492im], [-0.8225749049534632 + 1.4693679385278594e-39im, -0.7646350359566947 - 1.4693679385278594e-39im, -0.013994818754970597 + 9.183549615799121e-41im], [-0.0047975421324450845 + 0.5614228851076432im, -0.06248566177636153 - 2.6037143653839117im, -1.7574164484643786 + 0.044569235696134885im], [-4.484155085839415e-44 - 0.9881065603326782im, 0.0 + 0.9181011421008484im, -2.2420775429197073e-44 + 0.02522897802013182im], [0.8225749049534632 + 2.938735877055719e-39im, 0.7646350359566948 - 1.4693679385278594e-39im, 0.013994818754970597 + 0.0im]]&Any[4.57168217761548, 4.276359466267008, 4.276359466267008]&Any[1, 0, 0]
8&1&false&1&1&2&false&2&true&Any[0, 1]&true&100&true&1&1&Any[0, 1]&true&Any[0, 1]&true&Variable[w111, w211, w221]&3&27&9&9&13&3&Any[[-0.7517750775390106, -0.44607558484007565, -0.5529155299041426], [0.0, 0.0, 1.020640762992391e-202], [0.7517750775390106, 0.4460755848400756, 0.5529155299041426]]&Vector{ComplexF64}[[-0.03299617939382227 + 0.5489462963477602im, -5.091132700066386 - 3.7859444621869205im, -3.325690034679091 + 4.505973702415636im], [-0.7517750775390106 + 1.5407439555097887e-33im, -0.44607558484007565 + 1.5407439555097887e-33im, -0.5529155299041426 + 1.1555579666323415e-33im], [0.0 + 2.041281525984782e-202im, 0.0 + 8.165126103939127e-202im, 1.020640762992391e-202 + 0.0im], [0.032996179393822225 + 0.54894629634776im, 5.091132700066393 - 3.7859444621869214im, 3.325690034679092 + 4.505973702415642im], [-0.03299617939382224 - 0.54894629634776im, -5.091132700066397 + 3.785944462186921im, -3.325690034679091 - 4.505973702415646im], [3.851859888774472e-34 - 1.1089988540783382im, 7.703719777548943e-34 + 0.580999316391713im, 1.5407439555097887e-33 + 0.8598949203936038im], [0.032996179393822246 - 0.5489462963477602im, 5.091132700066391 + 3.785944462186921im, 3.3256900346790914 - 4.50597370241564im], [0.7517750775390106 - 4.81482486096809e-35im, 0.4460755848400756 - 4.81482486096809e-35im, 0.5529155299041426 + 4.81482486096809e-35im], [-5.7777898331617076e-34 + 1.1089988540783382im, 0.0 - 0.580999316391713im, -7.703719777548943e-34 - 0.8598949203936038im]]&Any[0.3507986157511699, 0.7571898324125328, 0.3507986157511699]&Any[0, 1, 0]
9&1&false&1&1&2&false&2&true&Any[0, 1]&true&100&true&1&1&Any[0, 1]&true&Any[0, 1]&true&Variable[w111, w211, w221]&3&27&9&9&13&3&Any[[0.0, 0.0, 0.0], [-0.6284110080469195, 0.14340109784244065, 1.8908262665886997], [0.6284110080469195, -0.14340109784244065, -1.8908262665886997]]&Vector{ComplexF64}[[-0.12024984605188808 - 0.6038790355590157im, 0.500661588010266 + 0.3406249596316653im, 0.573258403051784 - 2.305065858607918im], [0.0 + 0.8799525222268861im, 3.587324068671532e-43 + 0.6487416679731492im, -1.793662034335766e-43 + 1.5793983985040885im], [0.0 + 0.0im, 0.0 + 0.0im, 0.0 + 0.0im], [0.12024984605188807 - 0.6038790355590157im, -0.500661588010266 + 0.3406249596316653im, -0.5732584030517839 - 2.305065858607918im], [-0.12024984605188811 + 0.6038790355590158im, 0.500661588010266 - 0.34062495963166534im, 0.5732584030517841 + 2.3050658586079185im], [-0.6284110080469195 + 1.232595164407831e-32im, 0.14340109784244065 - 3.851859888774472e-34im, 1.8908262665886997 + 3.0814879110195774e-32im], [0.12024984605188808 + 0.6038790355590157im, -0.5006615880102661 - 0.3406249596316653im, -0.573258403051784 + 2.3050658586079185im], [2.2420775429197073e-44 - 0.8799525222268861im, -8.96831017167883e-44 - 0.6487416679731494im, -2.2420775429197073e-44 - 1.5793983985040887im], [0.6284110080469195 - 2.1666711874356403e-34im, -0.14340109784244065 - 6.018531076210112e-36im, -1.8908262665886997 - 5.296307347064899e-34im]]&Any[1.6068117684693946, 0.3509094654081873, 0.3509094654081873]&Any[1, 0, 0]
10&1&false&1&1&2&false&2&true&Any[0, 1]&true&100&true&1&1&Any[0, 1]&true&Any[0, 1]&true&Variable[w111, w211, w221]&3&27&9&9&13&3&Any[[-1.5327690816716375, -0.5751674943781039, -2.2559396609007627], [-6.20260064581006e-266, 0.0, 0.0], [1.5327690816716375, 0.5751674943781039, 2.2559396609007627]]&Vector{ComplexF64}[[0.2128708084871881 + 1.3190433097936844im, 2.9303923292842113 + 1.4067114887516878im, 2.0602390162346165 - 5.180128451777834im], [-1.5327690816716375 - 1.8367099231598242e-39im, -0.5751674943781039 - 1.7219155529623352e-41im, -2.2559396609007627 + 1.4693679385278594e-39im], [-6.20260064581006e-266 + 2.481040258324024e-265im, 0.0 + 0.0im, 0.0 + 0.0im], [-0.21287080848718815 + 1.3190433097936844im, -2.9303923292842113 + 1.4067114887516872im, -2.060239016234616 - 5.180128451777833im], [0.21287080848718817 - 1.3190433097936844im, 2.930392329284211 - 1.4067114887516874im, 2.060239016234616 + 5.180128451777833im], [6.130680781421075e-46 - 2.1539538573239136im, 0.0 + 1.4030800322949215im, 3.0653403907105373e-46 + 2.5329569785033557im], [-0.21287080848718817 - 1.3190433097936844im, -2.9303923292842105 - 1.4067114887516876im, -2.060239016234616 + 5.180128451777833im], [1.5327690816716375 + 3.6734198463196485e-40im, 0.5751674943781039 - 2.8698592549372254e-42im, 2.2559396609007627 - 3.6734198463196485e-40im], [-7.006492321624085e-46 + 2.1539538573239136im, 0.0 - 1.4030800322949215im, 0.0 - 2.5329569785033557im]]&Any[1.838428693343635, 4.237285467565163, 1.838428693343635]&Any[0, 1, 0]
11&1&false&1&1&2&false&2&true&Any[0, 1]&true&100&true&1&1&Any[0, 1]&true&Any[0, 1]&true&Variable[w111, w211, w221]&3&27&9&8&13&2&Any[[-1.6864337259662758, 1.1239179072921006, 0.48555621048865255], [1.6864337259662758, -1.1239179072921006, -0.48555621048865255]]&Vector{ComplexF64}[[0.029594091583771395 + 0.6342553406306687im, -5.017292408679048 - 11.955823581178974im, -13.624106558053702 + 5.723695663666874im], [-1.5407439555097887e-33 - 1.955658671940942im, 7.703719777548943e-34 - 1.3141359252178924im, 1.925929944387236e-34 - 0.5294478540072223im], [-1.6864337259662758 - 3.587324068671532e-43im, 1.1239179072921006 - 1.793662034335766e-43im, 0.48555621048865255 - 8.96831017167883e-44im], [1.6864337259662758 + 3.587324068671532e-43im, -1.1239179072921006 + 1.793662034335766e-43im, -0.48555621048865255 + 8.96831017167883e-44im], [0.029594091583771347 - 0.6342553406306688im, -5.017292408679048 + 11.95582358117898im, -13.62410655805371 - 5.723695663666875im], [-0.029594091583771402 - 0.6342553406306687im, 5.017292408679056 + 11.955823581178972im, 13.6241065580537 - 5.7236956636668825im], [8.628166150854817e-32 + 1.955658671940942im, -4.930380657631324e-32 + 1.3141359252178924im, -1.5407439555097887e-32 + 0.5294478540072223im], [-0.02959409158377143 + 0.6342553406306687im, 5.017292408679052 - 11.955823581178967im, 13.624106558053695 + 5.72369566366688im]]&Any[0.5454093335949219, 0.5454093335949219]&Any[0, 0]
