No.&H&convolution&di&dx&dy&fix_seed&m&reg&reg_dist_params&reg_parameterized&runcount&start_params_complex&stride&width&x_dist_params&x_parameterized&y_dist_params&y_parameterized&variables&n&CBB&BKK&N_C&N_DM&N_R&Real_sols&All_sols&L_values&Idx_vals
1&1&false&1&2&1&false&2&true&Any[0, 1]&true&100&true&1&1&Any[0, 1]&true&Any[0, 1]&true&Variable[w111, w112, w211]&3&27&9&9&13&3&Any[[0.0, 0.0, 4.1266518971961364e-218], [0.06078042487891759, -0.8488796201589682, -0.04876454821876952], [-0.060780424878917584, 0.8488796201589683, 0.04876454821876952]]&Vector{ComplexF64}[[2.8698592549372254e-42 - 2.570370440073708im, -3.587324068671532e-43 + 0.07259465102923647im, -2.0178697886277366e-42 + 1.345345149506502im], [0.0 + 2.5703704400737077im, 7.174648137343064e-43 - 0.07259465102923643im, 8.071479154510946e-43 - 1.3453451495065019im], [-3.76158192263132e-37 + 0.06609862403558231im, 5.266214691683848e-36 + 0.9089171850877731im, 3.291384182302405e-37 - 0.05256310921854393im], [0.0 + 5.63224524860253im, 3.851859888774472e-34 - 0.24684408534952426im, -1.5407439555097887e-33 + 2.9479576759670363im], [0.0 - 1.0878133199473342e-216im, 0.0 - 1.450417759929779e-216im, 4.1266518971961364e-218 - 1.0316629742990341e-218im], [4.70197740328915e-37 - 0.06609862403558231im, -1.3541694921472752e-35 - 0.9089171850877732im, -8.46355932592047e-37 + 0.05256310921854393im], [0.06078042487891759 - 3.76158192263132e-36im, -0.8488796201589682 - 3.611118645726067e-35im, -0.04876454821876952 + 1.504632769052528e-36im], [-1.232595164407831e-32 - 5.63224524860253im, 3.851859888774472e-34 + 0.24684408534952423im, 3.0814879110195774e-33 - 2.9479576759670363im], [-0.060780424878917584 + 7.52316384526264e-37im, 0.8488796201589683 - 1.2037062152420224e-35im, 0.04876454821876952 + 2.256949153578792e-36im]]&Any[0.711343606311924, 0.7051011954146478, 0.7051011954146478]&Any[1, 1, 1]
2&1&false&1&2&1&false&2&true&Any[0, 1]&true&100&true&1&1&Any[0, 1]&true&Any[0, 1]&true&Variable[w111, w112, w211]&3&27&9&9&13&3&Any[[0.20574418229245942, -0.3430534733769275, -0.5699722629925682], [-0.20574418229245942, 0.34305347337692754, 0.5699722629925683], [0.0, 0.0, 0.0]]&Vector{ComplexF64}[[0.20574418229245942 + 2.938735877055719e-39im, -0.3430534733769275 + 5.877471754111438e-39im, -0.5699722629925682 + 1.1754943508222875e-38im], [-0.20574418229245942 - 5.877471754111438e-39im, 0.34305347337692754 - 5.877471754111438e-39im, 0.5699722629925683 - 1.1754943508222875e-38im], [-7.174648137343064e-43 - 0.05228827614725676im, 4.304788882405838e-42 - 1.5770318597825377im, 0.0 + 2.053657796574556im], [-0.09112804578372038 + 0.3087117288084216im, 0.30321841614408546 + 0.5019129784477314im, 0.2283178665668517 + 0.7623610515388929im], [0.0 + 0.0im, 0.0 + 0.0im, 0.0 + 1.5487721070729892e-214im], [5.739718509874451e-42 + 0.05228827614725675im, -3.4438311059246704e-41 + 1.5770318597825377im, -2.2958874039497803e-41 - 2.053657796574556im], [0.09112804578372038 + 0.3087117288084216im, -0.3032184161440854 + 0.5019129784477314im, -0.22831786656685174 + 0.7623610515388929im], [0.09112804578372034 - 0.30871172880842157im, -0.30321841614408535 - 0.5019129784477313im, -0.22831786656685163 - 0.7623610515388929im], [-0.0911280457837204 - 0.30871172880842157im, 0.30321841614408546 - 0.5019129784477313im, 0.2283178665668517 - 0.7623610515388928im]]&Any[0.21568309655810086, 0.2156830965581008, 0.3274895842658086]&Any[0, 0, 1]
3&1&false&1&2&1&false&2&true&Any[0, 1]&true&100&true&1&1&Any[0, 1]&true&Any[0, 1]&true&Variable[w111, w112, w211]&3&27&9&9&13&3&Any[[-0.9838683358380935, 0.1940991555192694, -1.0835555243019988], [0.9838683358380935, -0.19409915551926937, 1.0835555243019985], [0.0, 0.0, 0.0]]&Vector{ComplexF64}[[-0.9838683358380935 + 6.018531076210112e-36im, 0.1940991555192694 + 1.316553672920962e-36im, -1.0835555243019988 - 9.027796614315168e-36im], [0.9838683358380935 + 3.587324068671532e-43im, -0.19409915551926937 - 1.3452465257518244e-43im, 1.0835555243019985 + 3.587324068671532e-43im], [3.503246160812043e-46 + 0.4598995435159665im, -4.203895392974451e-45 + 1.5505627569663007im, 2.802596928649634e-45 - 3.1975873964839976im], [1.7376100957627732e-43 + 0.13977720288564144im, 0.0 - 2.3061478639674795im, 0.0 - 4.70596369155765im], [0.0 + 0.0im, 0.0 + 0.0im, 0.0 - 4.5584899981638664e-215im], [-3.503246160812043e-46 - 0.4598995435159665im, 0.0 - 1.5505627569663007im, 0.0 + 3.1975873964839976im], [2.1895288505075267e-46 - 1.098960978361624im, 8.758115402030107e-47 - 0.22663368161789982im, 0.0 + 1.2177773406976915im], [-7.286752014489049e-44 - 0.13977720288564147im, 3.587324068671532e-43 + 2.30614786396748im, -7.174648137343064e-43 + 4.70596369155765im], [2.627434620609032e-46 + 1.098960978361624im, -4.3790577010150533e-47 + 0.22663368161789982im, 3.503246160812043e-46 - 1.2177773406976915im]]&Any[0.12973281668331502, 0.12973281668331504, 0.7384343734073817]&Any[0, 0, 1]
4&1&false&1&2&1&false&2&true&Any[0, 1]&true&100&true&1&1&Any[0, 1]&true&Any[0, 1]&true&Variable[w111, w112, w211]&3&27&9&8&13&2&Any[[-0.05897989199467205, 3.0627085387405164, -0.4892223063232253], [0.05897989199467205, -3.062708538740517, 0.4892223063232253]]&Vector{ComplexF64}[[-0.05897989199467205 + 0.0im, 3.0627085387405164 - 8.816207631167156e-39im, -0.4892223063232253 - 1.1020259538958945e-39im], [0.05897989199467205 + 1.2627380721723792e-40im, -3.062708538740517 + 2.204051907791789e-39im, 0.4892223063232253 + 1.1479437019748901e-40im], [9.62964972193618e-35 + 29.22318190174552im, 4.81482486096809e-35 + 13.350612665978167im, 1.1736135598609718e-34 - 27.630940894706193im], [-7.623063645927005e-43 + 28.16670371259932im, -3.8115318229635024e-43 + 13.01087938888438im, -1.0761972206014595e-42 + 26.63377429783963im], [-4.092601131822876e-34 - 29.223181901745527im, -2.046300565911438e-34 - 13.350612665978167im, -8.726870060504662e-35 + 27.630940894706196im], [2.407412430484045e-35 + 0.026597220398961386im, 3.851859888774472e-34 - 3.908921725258941im, -9.62964972193618e-35 - 0.620853025717434im], [2.1972359920613132e-42 - 28.166703712599308im, 1.0089348943138683e-42 - 13.010879388884375im, 2.735334602362043e-42 - 26.633774297839622im], [2.407412430484045e-35 - 0.026597220398961386im, -7.703719777548943e-34 + 3.908921725258941im, 9.62964972193618e-35 + 0.620853025717434im]]&Any[0.33077548623301073, 0.33077548623301073]&Any[0, 0]
5&1&false&1&2&1&false&2&true&Any[0, 1]&true&100&true&1&1&Any[0, 1]&true&Any[0, 1]&true&Variable[w111, w112, w211]&3&27&9&9&13&3&Any[[3.713069465420234e-214, -7.654846587788983e-214, 3.713069465420234e-214], [0.20937256891952494, 0.3887526246511599, -0.3472080201540873], [-0.20937256891952494, -0.38875262465115984, 0.34720802015408725]]&Vector{ComplexF64}[[-2.5111268480700722e-42 + 0.9738032216526173im, 2.5111268480700722e-42 + 0.22236320118671196im, -1.2555634240350361e-42 + 0.9434761245621226im], [6.162975822039155e-33 - 0.9738032216526173im, -3.851859888774472e-34 - 0.22236320118671205im, -7.703719777548943e-34 - 0.9434761245621227im], [0.5086366696807825 + 0.4213066811841049im, 0.2596697676263918 - 0.9254765764292825im, -0.11172805714308336 - 0.5995548633586543im], [0.5086366696807822 - 0.4213066811841049im, 0.25966976762639177 + 0.9254765764292825im, -0.11172805714308336 + 0.5995548633586543im], [3.713069465420234e-214 - 1.856534732710117e-214im, -7.654846587788983e-214 + 0.0im, 3.713069465420234e-214 + 0.0im], [-0.5086366696807824 - 0.42130668118410486im, -0.25966976762639177 + 0.9254765764292825im, 0.11172805714308336 + 0.5995548633586543im], [0.20937256891952494 + 9.159698262768266e-49im, 0.3887526246511599 + 0.0im, -0.3472080201540873 - 2.7369110631344083e-48im], [-0.5086366696807825 + 0.42130668118410486im, -0.25966976762639177 - 0.9254765764292826im, 0.11172805714308337 - 0.5995548633586543im], [-0.20937256891952494 + 3.4211388289180104e-48im, -0.38875262465115984 + 1.642146637880645e-47im, 0.34720802015408725 - 1.0947644252537633e-47im]]&Any[0.2464942356458669, 0.18237163497068593, 0.18237163497068593]&Any[1, 0, 0]
6&1&false&1&2&1&false&2&true&Any[0, 1]&true&100&true&1&1&Any[0, 1]&true&Any[0, 1]&true&Variable[w111, w112, w211]&3&27&9&9&13&3&Any[[-1.4632346788098773, -0.1063482418914022, 0.3643272508348443], [3.255186893548805e-214, -2.185223515151226e-214, 4.641336831775293e-215], [1.4632346788098773, 0.1063482418914022, -0.36432725083484424]]&Vector{ComplexF64}[[7.955249854685989e-39 - 33.50970910474324im, -4.7180486151167985e-39 + 20.019605087640663im, -2.7372717573591255e-38 + 21.93336979131216im], [-8.115961972962473e-39 + 33.50970910474327im, 4.827103266804413e-39 - 20.01960508764068im, 8.78176932010791e-39 - 21.933369791312177im], [-1.4632346788098773 + 7.812238938610855e-44im, -0.1063482418914022 - 5.079706933177462e-45im, 0.3643272508348443 + 1.1210387714598537e-44im], [5.378159369701356e-32 + 35.97299757559862im, -3.221117831987652e-32 - 21.45403444751828im, 1.5019846153789956e-31 + 23.51030160548943im], [3.255186893548805e-214 + 7.426138930840468e-214im, -2.185223515151226e-214 - 7.426138930840468e-214im, 4.641336831775293e-215 + 3.713069465420234e-214im], [1.4632346788098773 - 4.4053320472211437e-44im, 0.1063482418914022 + 3.765989622872946e-45im, -0.36432725083484424 - 5.605193857299268e-45im], [-2.2958874039497803e-40 - 1.567365544558316im, -2.8698592549372254e-42 - 0.17239432122167359im, 5.739718509874451e-41 - 0.4120019048972813im], [-6.769643754521134e-32 - 35.97299757559856im, 4.0444528832131953e-32 + 21.454034447518247im, -5.015241945805886e-32 - 23.5103016054894im], [-9.183549615799121e-41 + 1.567365544558316im, -2.2958874039497803e-41 + 0.17239432122167347im, 4.0178029569121155e-41 + 0.4120019048972813im]]&Any[1.069942342653467, 1.5139387872669625, 1.0699423426534673]&Any[0, 1, 0]
7&1&false&1&2&1&false&2&true&Any[0, 1]&true&100&true&1&1&Any[0, 1]&true&Any[0, 1]&true&Variable[w111, w112, w211]&3&27&9&9&13&3&Any[[0.7004017066754769, -0.6731974175645034, 0.8254096826528251], [-1.8130221999122236e-217, -4.532555499780559e-218, 1.4707301390586627e-218], [-0.7004017066754771, 0.6731974175645034, -0.8254096826528251]]&Vector{ComplexF64}[[0.745436475258699 - 0.1467140122566097im, 0.1000230768711742 - 1.4307696149432982im, 0.1691410581877011 - 1.083520594583171im], [-0.745436475258699 + 0.14671401225660977im, -0.10002307687117416 + 1.4307696149432982im, -0.1691410581877011 + 1.083520594583171im], [0.7004017066754769 + 0.0im, -0.6731974175645034 + 6.726232628759122e-44im, 0.8254096826528251 - 2.2420775429197073e-44im], [-0.7454364752586995 - 0.14671401225660993im, -0.10002307687117414 - 1.4307696149432985im, -0.1691410581877012 - 1.083520594583171im], [-1.8130221999122236e-217 + 7.252088799648895e-217im, -4.532555499780559e-218 + 3.6260443998244473e-217im, 1.4707301390586627e-218 - 9.065110999561118e-218im], [-0.7004017066754771 - 5.605193857299268e-45im, 0.6731974175645034 - 8.407790785948902e-45im, -0.8254096826528251 + 5.605193857299268e-45im], [-7.703719777548943e-34 + 1.871392453228969im, -2.1185229388259594e-33 + 0.2035175653215878im, 1.1051527688690818e-33 - 1.575378342686251im], [0.7454364752586989 + 0.14671401225660982im, 0.10002307687117418 + 1.4307696149432982im, 0.16914105818770114 + 1.083520594583171im], [0.0 - 1.8713924532289692im, 2.407412430484045e-35 - 0.20351756532158735im, 6.018531076210112e-35 + 1.575378342686251im]]&Any[0.3722162839078832, 1.1314215955366431, 0.37221628390788314]&Any[0, 1, 0]
8&1&false&1&2&1&false&2&true&Any[0, 1]&true&100&true&1&1&Any[0, 1]&true&Any[0, 1]&true&Variable[w111, w112, w211]&3&27&9&9&13&3&Any[[-0.16534003661072086, -0.5697782066663295, -0.5344709576739151], [0.0, 0.0, 0.0], [0.16534003661072086, 0.5697782066663294, 0.5344709576739151]]&Vector{ComplexF64}[[-5.266214691683848e-36 + 1.2298741133186235im, -1.504632769052528e-36 + 1.2956302109138402im, -7.52316384526264e-37 - 1.354897723666952im], [-1.2037062152420224e-35 - 1.2298741133186235im, 1.504632769052528e-36 - 1.2956302109138405im, 0.0 + 1.3548977236669522im], [2.407412430484045e-35 - 8.325422617621754im, 6.018531076210112e-36 + 1.7471739756296463im, 0.0 - 4.555159248962864im], [-0.16534003661072086 + 7.52316384526264e-37im, -0.5697782066663295 + 1.0532429383367696e-35im, -0.5344709576739151 + 7.52316384526264e-36im], [0.0 + 0.0im, 0.0 + 0.0im, 0.0 + 0.0im], [2.407412430484045e-35 + 8.325422617621754im, 0.0 - 1.7471739756296465im, -6.018531076210112e-36 + 4.555159248962864im], [0.0 + 7.41027874484444im, -1.0947644252537633e-47 - 0.9935443476467418im, -4.3790577010150533e-47 - 3.9000890011939253im], [0.16534003661072086 + 0.0im, 0.5697782066663294 - 3.009265538105056e-36im, 0.5344709576739151 - 4.513898307157584e-36im], [6.56858655152258e-47 - 7.410278744844439im, -5.473822126268817e-48 + 0.9935443476467416im, -1.642146637880645e-47 + 3.900089001193925im]]&Any[0.7863967130961005, 0.8700703488588841, 0.7863967130961004]&Any[0, 1, 0]
9&1&false&1&2&1&false&2&true&Any[0, 1]&true&100&true&1&1&Any[0, 1]&true&Any[0, 1]&true&Variable[w111, w112, w211]&3&27&9&9&13&3&Any[[0.8106392531713531, -0.48806098558050354, -1.224860794343455], [-0.810639253171353, 0.4880609855805037, 1.224860794343455], [0.0, 0.0, 2.2883557340936752e-246]]&Vector{ComplexF64}[[0.8106392531713531 - 1.8654085157091965e-41im, -0.48806098558050354 - 1.1479437019748901e-41im, -1.224860794343455 - 5.739718509874451e-42im], [-0.810639253171353 - 6.018531076210112e-36im, 0.4880609855805037 - 5.416677968589101e-35im, 1.224860794343455 + 9.62964972193618e-35im], [-0.6983548346940064 + 0.608648483741481im, 0.46606453800735376 + 0.9656681888608282im, 0.4312744679417041 - 0.8289353386194684im], [-8.96831017167883e-44 - 1.9506581430155896im, 4.484155085839415e-44 - 0.07556178285080418im, 0.0 - 2.7006783506581735im], [0.0 - 9.153422936374701e-246im, 0.0 + 0.0im, 2.2883557340936752e-246 + 0.0im], [0.6983548346940064 - 0.6086484837414808im, -0.46606453800735387 - 0.9656681888608281im, -0.431274467941704 + 0.8289353386194682im], [-0.6983548346940065 - 0.608648483741481im, 0.46606453800735376 - 0.9656681888608283im, 0.43127446794170404 + 0.8289353386194683im], [8.96831017167883e-44 + 1.9506581430155896im, 2.2420775429197073e-44 + 0.07556178285080406im, -8.96831017167883e-44 + 2.7006783506581735im], [0.6983548346940063 + 0.608648483741481im, -0.46606453800735387 + 0.9656681888608282im, -0.43127446794170404 - 0.8289353386194682im]]&Any[0.8171515181177584, 0.8171515181177584, 2.0680311179312487]&Any[0, 0, 1]
10&1&false&1&2&1&false&2&true&Any[0, 1]&true&100&true&1&1&Any[0, 1]&true&Any[0, 1]&true&Variable[w111, w112, w211]&3&27&9&9&13&3&Any[[0.45850872852576346, 0.22100684915042723, -0.7179788507985768], [-0.45850872852576346, -0.2210068491504272, 0.7179788507985767], [0.0, 0.0, 0.0]]&Vector{ComplexF64}[[0.45850872852576346 + 9.4039548065783e-38im, 0.22100684915042723 + 3.76158192263132e-37im, -0.7179788507985768 + 0.0im], [-0.45850872852576346 + 0.0im, -0.2210068491504272 - 6.56858655152258e-46im, 0.7179788507985767 - 2.802596928649634e-45im], [4.81482486096809e-35 - 0.7465624345184906im, 7.824090399073146e-35 - 0.09241284268370054im, -6.620384183831123e-35 - 1.0256792404059172im], [-2.5037089277034066e-33 + 3.1409006648579867im, 5.7777898331617076e-33 - 7.746664986540328im, 5.354085245396516e-32 - 13.2036500764352im], [0.0 + 0.0im, 0.0 + 0.0im, 0.0 + 1.430222333808547e-247im], [-6.620384183831123e-35 + 0.7465624345184906im, -4.513898307157584e-36 + 0.09241284268370054im, 4.81482486096809e-35 + 1.0256792404059172im], [3.009265538105056e-36 + 2.686312196001086im, -3.009265538105056e-36 - 6.397409317481064im, 7.222237291452134e-35 + 10.945226851360243im], [1.1555579666323415e-33 - 3.140900664857987im, -2.6963019221421302e-33 + 7.746664986540329im, -2.905746803594242e-32 + 13.203650076435201im], [6.921310737641629e-35 - 2.686312196001086im, -1.6851887013388314e-34 + 6.397409317481064im, 1.0532429383367696e-34 - 10.94522685136024im]]&Any[1.121387101281615, 1.121387101281615, 1.3869278459160312]&Any[0, 0, 1]
11&1&false&1&2&1&false&2&true&Any[0, 1]&true&100&true&1&1&Any[0, 1]&true&Any[0, 1]&true&Variable[w111, w112, w211]&3&27&9&9&13&3&Any[[1.1441778670468376e-246, 0.0, 0.0], [1.4212798570534082, 0.8565892302997131, 1.0044871697524207], [-1.4212798570534084, -0.8565892302997132, -1.0044871697524207]]&Vector{ComplexF64}[[2.5097572763930185e-47 + 2.1172149642735785im, 2.1895288505075267e-47 + 1.4498839247195399im, -4.3790577010150533e-47 - 1.520241913778466im], [1.970575965456774e-46 - 2.1172149642735785im, 6.56858655152258e-47 - 1.4498839247195399im, 6.56858655152258e-47 + 1.520241913778466im], [-0.649086619193736 + 0.6752161881736742im, 1.0410245202987702 + 1.1266801161560744im, -0.07336046349067889 + 0.2213678220303615im], [-0.6490866191937359 - 0.675216188173674im, 1.04102452029877 - 1.1266801161560742im, -0.07336046349067891 - 0.22136782203036148im], [1.1441778670468376e-246 - 1.1441778670468376e-246im, 0.0 + 2.0377569007425428e-246im, 0.0 - 1.1441778670468376e-246im], [0.649086619193736 - 0.6752161881736741im, -1.04102452029877 - 1.1266801161560744im, 0.0733604634906789 - 0.2213678220303615im], [1.4212798570534082 + 3.4438311059246704e-41im, 0.8565892302997131 + 2.2958874039497803e-41im, 1.0044871697524207 + 1.937154997082627e-41im], [0.649086619193736 + 0.6752161881736741im, -1.0410245202987702 + 1.1266801161560744im, 0.0733604634906789 + 0.2213678220303615im], [-1.4212798570534084 - 1.1479437019748901e-41im, -0.8565892302997132 + 4.591774807899561e-41im, -1.0044871697524207 + 2.7981127735637947e-41im]]&Any[2.0142050661276207, 0.905855998012937, 0.9058559980129369]&Any[1, 0, 0]
