No.&H&convolution&di&dx&dy&fix_seed&m&reg&reg_dist_params&reg_parameterized&runcount&start_params_complex&stride&width&x_dist_params&x_parameterized&y_dist_params&y_parameterized&variables&n&CBB&BKK&N_C&N_DM&N_R&Real_sols&All_sols&L_values&Idx_vals
1&1&false&1&3&1&false&2&true&Any[0, 1]&true&100&true&1&1&Any[0, 1]&true&Any[0, 1]&true&Variable[w111, w112, w113, w211]&4&81&13&9&23&3&Any[[-0.5170802076757095, 0.5680574082364839, 0.6219756426517754, 1.4659593713921872], [0.5170802076757097, -0.568057408236484, -0.6219756426517749, -1.465959371392187], [0.0, 0.0, 0.0, 0.0]]&Vector{ComplexF64}[[-0.8398965797651767 + 0.3609482795681539im, 0.1867092334263731 + 0.747723351796745im, 0.633127952855309 + 0.15219246746682588im, 0.21163934289575567 + 0.33679473394071646im], [0.8398965797651767 - 0.3609482795681539im, -0.18670923342637308 - 0.747723351796745im, -0.633127952855309 - 0.15219246746682588im, -0.2116393428957557 - 0.33679473394071646im], [-0.8398965797651767 - 0.360948279568154im, 0.18670923342637313 - 0.747723351796745im, 0.6331279528553091 - 0.15219246746682588im, 0.2116393428957557 - 0.33679473394071646im], [-0.5170802076757095 + 4.484155085839415e-44im, 0.5680574082364839 - 2.2420775429197073e-43im, 0.6219756426517754 - 1.3452465257518244e-43im, 1.4659593713921872 + 5.3809861030072976e-43im], [0.5170802076757097 - 1.233142648605839e-42im, -0.568057408236484 + 8.071479154510946e-43im, -0.6219756426517749 - 4.484155085839415e-44im, -1.465959371392187 - 1.2555634240350361e-42im], [-5.969307250269429e-40 - 0.5780238854113998im, -1.8367099231598242e-40 + 0.8215445513464069im, -2.4795583962657627e-39 + 0.7908705975536584im, -1.1020259538958945e-39 - 1.9487567425916386im], [4.304788882405838e-40 + 0.5780238854113998im, -2.2958874039497803e-40 - 0.8215445513464071im, 5.510129769479473e-40 - 0.7908705975536584im, -1.6071211827648462e-40 + 1.9487567425916388im], [0.0 + 0.0im, 0.0 - 7.181578049667493e-203im, 0.0 + 0.0im, 0.0 + 4.1764983046268724e-203im], [0.8398965797651767 + 0.360948279568154im, -0.1867092334263731 + 0.7477233517967451im, -0.6331279528553092 + 0.1521924674668259im, -0.21163934289575567 + 0.3367947339407164im]]&Any[0.10421183193147222, 0.10421183193147235, 1.0038401878035428]&Any[0, 0, 1]
2&1&false&1&3&1&false&2&true&Any[0, 1]&true&100&true&1&1&Any[0, 1]&true&Any[0, 1]&true&Variable[w111, w112, w113, w211]&4&81&13&9&23&3&Any[[-0.35082031375975514, -0.2718343110869202, 2.043669858344612, 0.7554092969853059], [0.0, 0.0, 0.0, 0.0], [0.35082031375975514, 0.27183431108692024, -2.043669858344612, -0.7554092969853059]]&Vector{ComplexF64}[[0.0 + 2.5428048951263285im, -6.162975822039155e-33 + 0.511934487485027im, -7.703719777548943e-33 - 0.2618385830599437im, 0.0 + 2.543826379200185im], [7.395570986446986e-32 - 2.542804895126328im, -5.854827030937197e-32 - 0.5119344874850272im, -6.317050217590134e-32 + 0.2618385830599434im, 1.232595164407831e-32 - 2.543826379200185im], [-0.35082031375975514 + 3.009265538105056e-36im, -0.2718343110869202 - 9.027796614315168e-36im, 2.043669858344612 - 2.407412430484045e-35im, 0.7554092969853059 - 6.018531076210112e-36im], [6.313690360861896e-41 - 0.5926896848778116im, 2.8698592549372254e-42 + 0.10787242233189438im, 2.2958874039497803e-41 - 2.205851245330544im, -5.739718509874451e-42 + 0.8864272942384693im], [4.926439913641935e-47 + 0.5926896848778117im, 1.642146637880645e-47 - 0.10787242233189431im, -2.7369110631344083e-47 + 2.205851245330544im, -2.1895288505075267e-47 - 0.8864272942384694im], [0.0 - 1.3001844368636428im, -3.587324068671532e-43 - 0.09410818443048873im, 5.3809861030072976e-43 - 1.538901155821653im, 1.793662034335766e-43 + 1.3566389810148332im], [-3.0814879110195774e-33 + 1.300184436863643im, 1.925929944387236e-34 + 0.09410818443048855im, 4.237045877651919e-33 + 1.5389011558216528im, 3.0814879110195774e-33 - 1.3566389810148334im], [0.0 + 0.0im, 0.0 + 2.5764595078388533e-231im, 0.0 + 2.5764595078388533e-231im, 0.0 + 0.0im], [0.35082031375975514 + 8.609577764811676e-42im, 0.27183431108692024 + 2.367633885323211e-41im, -2.043669858344612 + 6.887662211849341e-41im, -0.7554092969853059 - 2.0089014784560578e-41im]]&Any[0.7830896703895416, 3.1271116525167284, 0.7830896703895417]&Any[0, 1, 0]
3&1&false&1&3&1&false&2&true&Any[0, 1]&true&100&true&1&1&Any[0, 1]&true&Any[0, 1]&true&Variable[w111, w112, w113, w211]&4&81&13&9&23&3&Any[[0.24306000485324564, 1.2006235308090927, -1.181980009730327, -1.0880936329526805], [0.0, 0.0, 0.0, 0.0], [-0.2430600048532456, -1.2006235308090922, 1.1819800097303272, 1.0880936329526805]]&Vector{ComplexF64}[[-1.925929944387236e-34 + 0.2154538134528043im, 1.925929944387236e-34 + 1.3633362254939774im, 1.3481509610710651e-33 - 1.3658978897436374im, 9.62964972193618e-34 + 1.2445760675507933im], [1.925929944387236e-33 - 0.21545381345280426im, -2.5037089277034066e-33 - 1.3633362254939776im, -1.925929944387236e-33 + 1.3658978897436371im, -5.7777898331617076e-34 - 1.2445760675507935im], [0.24306000485324564 + 1.7516230804060213e-46im, 1.2006235308090927 + 0.0im, -1.181980009730327 + 1.1976791232956976e-46im, -1.0880936329526805 + 0.0im], [-8.509982431630117 + 4.419416285565233im, 0.908242045343826 + 6.95247329980172im, -4.301780881501751 - 5.66396004510613im, -0.02063258402007848 + 0.5413573081080285im], [8.509982431630112 - 4.419416285565224im, -0.9082420453438207 - 6.952473299801714im, 4.301780881501743 + 5.663960045106129im, 0.02063258402007845 - 0.5413573081080286im], [-8.509982431630117 - 4.4194162855652275im, 0.9082420453438225 - 6.952473299801718im, -4.301780881501746 + 5.66396004510613im, -0.020632584020078434 - 0.5413573081080285im], [8.50998243163012 + 4.419416285565233im, -0.9082420453438255 + 6.952473299801722im, 4.301780881501751 - 5.663960045106132im, 0.020632584020078434 + 0.5413573081080285im], [0.0 + 0.0im, 0.0 + 0.0im, 0.0 + 0.0im, 0.0 + 0.0im], [-0.2430600048532456 + 1.4444474582904269e-33im, -1.2006235308090922 - 4.237045877651919e-33im, 1.1819800097303272 - 2.6963019221421302e-33im, 1.0880936329526805 + 1.1555579666323415e-33im]]&Any[0.7237912958553286, 4.484482819522639, 0.7237912958553288]&Any[0, 1, 0]
4&1&false&1&3&1&false&2&true&Any[0, 1]&true&100&true&1&1&Any[0, 1]&true&Any[0, 1]&true&Variable[w111, w112, w113, w211]&4&81&13&9&23&3&Any[[0.014547442177083572, -0.9399875229670336, -0.04741321037118078, 0.948077425017543], [0.0, 0.0, 0.0, 0.0], [-0.014547442177083515, 0.9399875229670337, 0.047413210371180625, -0.9480774250175431]]&Vector{ComplexF64}[[-0.8827906235993803 - 4.238274073914054im, 3.580336426987604 - 0.7808260845562426im, 0.2539146367752829 + 0.33727699133704503im, -0.06098604641270007 + 0.2423895766320267im], [0.8827906235993792 + 4.238274073914055im, -3.5803364269876043 + 0.7808260845562417im, -0.25391463677528286 - 0.3372769913370452im, 0.060986046412700064 - 0.24238957663202673im], [0.014547442177083572 - 8.425943506694157e-35im, -0.9399875229670336 - 9.62964972193618e-34im, -0.04741321037118078 - 5.717604522399606e-35im, 0.948077425017543 - 9.62964972193618e-34im], [0.8827906235993803 - 4.238274073914054im, -3.580336426987604 - 0.7808260845562425im, -0.253914636775283 + 0.3372769913370451im, 0.06098604641270007 + 0.24238957663202673im], [-0.8827906235993797 + 4.238274073914055im, 3.5803364269876043 + 0.7808260845562418im, 0.2539146367752829 - 0.33727699133704514im, -0.060986046412700064 - 0.2423895766320267im], [0.0 + 0.05695025544132991im, -1.0303725202471712e-32 + 1.024561568551143im, -1.4444474582904269e-33 + 0.04522710781579505im, 1.3866695599588098e-32 + 1.0339662639669736im], [1.5407439555097887e-32 - 0.056950255441329936im, 1.1093356479670479e-31 - 1.024561568551143im, 9.244463733058732e-33 - 0.04522710781579526im, -1.1093356479670479e-31 - 1.0339662639669736im], [0.0 + 0.0im, 0.0 + 0.0im, 0.0 + 0.0im, 0.0 + 0.0im], [-0.014547442177083515 + 6.5343751632334e-47im, 0.9399875229670337 + 3.503246160812043e-46im, 0.047413210371180625 - 2.1895288505075267e-47im, -0.9480774250175431 + 1.7516230804060213e-46im]]&Any[0.34626911669905613, 4.154651758182038, 0.34626911669905597]&Any[0, 1, 0]
5&1&false&1&3&1&false&2&true&Any[0, 1]&true&100&true&1&1&Any[0, 1]&true&Any[0, 1]&true&Variable[w111, w112, w113, w211]&4&81&13&8&23&2&Any[[0.5903724371115308, 0.4128836184869154, -0.41578436098253047, 2.0589715569831517], [-0.5903724371115306, -0.41288361848691507, 0.4157843609825307, -2.0589715569831513]]&Vector{ComplexF64}[[1.0947644252537633e-47 - 1.515937468256869im, 1.970575965456774e-46 - 0.6870370982376753im, 1.2042408677791397e-46 + 0.453769244372716im, 4.3790577010150533e-47 + 4.632639507696389im], [1.970575965456774e-46 + 1.515937468256869im, -9.633926942233117e-46 + 0.6870370982376752im, -7.006492321624085e-46 - 0.45376924437271593im, 6.130680781421075e-46 - 4.632639507696389im], [0.2996932341619763 - 0.5299356561529117im, 0.35781155938819276 + 0.050116130107240316im, -0.4548979985079374 - 0.3189231752711473im, 0.6288391970965249 - 0.9994495633694807im], [0.29969323416197635 + 0.5299356561529117im, 0.3578115593881928 - 0.050116130107240274im, -0.4548979985079375 + 0.31892317527114733im, 0.6288391970965249 + 0.9994495633694805im], [-0.29969323416197635 - 0.5299356561529117im, -0.3578115593881928 + 0.05011613010724027im, 0.4548979985079375 - 0.31892317527114733im, -0.6288391970965249 - 0.9994495633694805im], [0.5903724371115308 + 1.6897731293070383e-38im, 0.4128836184869154 + 4.408103815583578e-39im, -0.41578436098253047 + 1.7632415262334313e-38im, 2.0589715569831517 + 8.228460455756013e-38im], [-0.5903724371115306 - 1.1020259538958945e-38im, -0.41288361848691507 + 1.6163047323806453e-38im, 0.4157843609825307 + 1.4693679385278594e-39im, -2.0589715569831513 - 4.70197740328915e-38im], [-0.2996932341619763 + 0.5299356561529117im, -0.35781155938819276 - 0.0501161301072403im, 0.4548979985079375 + 0.3189231752711472im, -0.628839197096525 + 0.9994495633694804im]]&Any[0.6532135182908619, 0.6532135182908622]&Any[0, 0]
6&1&false&1&3&1&false&2&true&Any[0, 1]&true&100&true&1&1&Any[0, 1]&true&Any[0, 1]&true&Variable[w111, w112, w113, w211]&4&81&13&9&23&3&Any[[0.16004569159139692, -0.5647431114674222, -1.2418506693497178, 1.2548861157735252], [-0.16004569159139695, 0.5647431114674221, 1.241850669349718, -1.2548861157735252], [0.0, 1.2707645813186508e-264, 0.0, -4.2491141210782234e-265]]&Vector{ComplexF64}[[1.8609591236148162 - 1.8250180920029981im, -1.0267395528617809 - 1.596115434030597im, -3.0112182860882326 - 2.4168776344929683im, 0.07889293105543964 + 0.3633118972903739im], [-1.8609591236148166 + 1.8250180920029984im, 1.026739552861781 + 1.5961154340305976im, 3.0112182860882335 + 2.4168776344929688im, -0.07889293105543961 - 0.36331189729037394im], [-1.3541694921472752e-35 + 0.12420908634450215im, -4.81482486096809e-35 - 0.6660620689901762im, 0.0 - 1.4336693429936334im, -2.407412430484045e-35 - 1.4453658692117615im], [1.8609591236148169 + 1.8250180920029986im, -1.0267395528617813 + 1.5961154340305979im, -3.0112182860882335 + 2.4168776344929697im, 0.07889293105543961 - 0.3633118972903739im], [-1.8609591236148162 - 1.8250180920029984im, 1.0267395528617809 - 1.596115434030597im, 3.011218286088233 - 2.4168776344929683im, -0.07889293105543965 + 0.3633118972903739im], [0.16004569159139692 - 6.162975822039155e-33im, -0.5647431114674222 + 4.930380657631324e-32im, -1.2418506693497178 - 1.232595164407831e-31im, 1.2548861157735252 - 2.465190328815662e-32im], [-0.16004569159139695 + 4.484155085839415e-44im, 0.5647431114674221 + 3.040817667584853e-43im, 1.241850669349718 - 3.8115318229635024e-43im, -1.2548861157735252 + 0.0im], [0.0 + 0.0im, 1.2707645813186508e-264 + 1.2707645813186508e-264im, 0.0 + 0.0im, -4.2491141210782234e-265 - 4.2491141210782234e-265im], [-1.6815581571897805e-44 - 0.12420908634450213im, 4.203895392974451e-45 + 0.6660620689901763im, -1.0930128021733573e-43 + 1.4336693429936336im, 2.2420775429197073e-44 + 1.4453658692117615im]]&Any[0.2568272655391099, 0.25682726553910984, 2.6218979594110206]&Any[0, 0, 1]
7&1&false&1&3&1&false&2&true&Any[0, 1]&true&100&true&1&1&Any[0, 1]&true&Any[0, 1]&true&Variable[w111, w112, w113, w211]&4&81&13&9&23&3&Any[[-0.3532871347421688, 0.5030752964563474, -0.932925305118473, -0.8303989922373558], [1.4033810491145375e-202, 0.0, 0.0, -1.2758009537404886e-203], [0.35328713474216894, -0.5030752964563474, 0.9329253051184732, 0.8303989922373558]]&Vector{ComplexF64}[[-0.46664330065012427 + 0.678994749134501im, 0.4715737869515072 + 0.01642517276567799im, -0.6645518767677822 - 1.100598306974608im, -0.28245661088291135 + 0.6195702848545759im], [0.4666433006501242 - 0.6789947491345011im, -0.4715737869515072 - 0.016425172765678044im, 0.664551876767782 + 1.100598306974608im, 0.2824566108829113 - 0.619570284854576im], [-0.3532871347421688 + 1.3224311446750734e-38im, 0.5030752964563474 + 2.497925495497361e-38im, -0.932925305118473 + 0.0im, -0.8303989922373558 + 1.7632415262334313e-38im], [6.189292924011027e-46 - 1.1786540082157886im, 2.1895288505075267e-46 + 0.8142078421203109im, 6.56858655152258e-46 - 0.5694108543983845im, 1.5326701953552687e-46 + 1.6030510648914686im], [8.758115402030107e-46 + 1.1786540082157884im, 2.802596928649634e-45 - 0.8142078421203106im, 3.1529215447308384e-45 + 0.5694108543983847im, 1.7516230804060213e-46 - 1.6030510648914686im], [-0.4666433006501242 - 0.678994749134501im, 0.47157378695150715 - 0.01642517276567809im, -0.664551876767782 + 1.1005983069746081im, -0.2824566108829113 - 0.619570284854576im], [0.4666433006501243 + 0.6789947491345011im, -0.47157378695150726 + 0.016425172765678064im, 0.6645518767677822 - 1.1005983069746081im, 0.2824566108829113 + 0.619570284854576im], [1.4033810491145375e-202 + 2.5516019074809773e-203im, 0.0 - 3.686863733881763e-204im, 0.0 + 0.0im, -1.2758009537404886e-203 + 0.0im], [0.35328713474216894 - 1.9730282377693424e-42im, -0.5030752964563474 - 5.3809861030072976e-42im, 0.9329253051184732 - 1.0044507392280289e-41im, 0.8303989922373558 + 2.152394441202919e-42im]]&Any[0.2230102695179516, 1.294818522136014, 0.22301026951795153]&Any[0, 1, 0]
8&1&false&1&3&1&false&2&true&Any[0, 1]&true&100&true&1&1&Any[0, 1]&true&Any[0, 1]&true&Variable[w111, w112, w113, w211]&4&81&13&9&23&3&Any[[-0.09705801923170744, -0.2940855009886817, 0.4309069107628764, 1.9236422499031578], [0.09705801923170743, 0.29408550098868164, -0.4309069107628764, -1.9236422499031578], [5.103203814961955e-203, 1.823094721879103e-202, 2.041281525984782e-202, -1.020640762992391e-202]]&Vector{ComplexF64}[[1.7219155529623352e-41 + 0.035613564856410845im, 3.4438311059246704e-41 + 0.3675551201546326im, 2.4393803666966416e-41 - 0.47748273146112585im, 5.739718509874451e-42 + 2.2053041222183083im], [-9.183549615799121e-41 - 0.03561356485641085im, 1.3775324423698682e-40 - 0.3675551201546327im, 2.2958874039497803e-41 + 0.47748273146112585im, -2.7550648847397363e-40 - 2.2053041222183087im], [-0.8792120216052643 - 0.8366634630824211im, 0.8527507040520262 - 0.4036991182405782im, -0.4222601297476157 + 1.0928719041628425im, -0.13405194845717586 - 1.1466287374609985im], [-0.09705801923170744 - 7.346839692639297e-40im, -0.2940855009886817 + 5.510129769479473e-40im, 0.4309069107628764 - 3.6734198463196485e-39im, 1.9236422499031578 + 1.1754943508222875e-38im], [0.09705801923170743 - 3.76158192263132e-37im, 0.29408550098868164 - 1.692711865184094e-36im, -0.4309069107628764 + 8.275480229788904e-36im, -1.9236422499031578 - 2.407412430484045e-35im], [0.8792120216052639 - 0.8366634630824216im, -0.8527507040520265 - 0.40369911824057786im, 0.422260129747616 + 1.0928719041628423im, 0.13405194845717602 - 1.1466287374609982im], [-0.879212021605264 + 0.8366634630824215im, 0.8527507040520264 + 0.4036991182405779im, -0.42226012974761595 - 1.0928719041628423im, -0.13405194845717597 + 1.1466287374609982im], [5.103203814961955e-203 - 1.2758009537404886e-203im, 1.823094721879103e-202 + 0.0im, 2.041281525984782e-202 + 0.0im, -1.020640762992391e-202 + 0.0im], [0.879212021605264 + 0.836663463082421im, -0.8527507040520262 + 0.40369911824057797im, 0.42226012974761573 - 1.0928719041628423im, 0.13405194845717594 + 1.1466287374609985im]]&Any[0.10922405504501943, 0.10922405504501942, 1.0587042297957363]&Any[0, 0, 1]
9&1&false&1&3&1&false&2&true&Any[0, 1]&true&100&true&1&1&Any[0, 1]&true&Any[0, 1]&true&Variable[w111, w112, w113, w211]&4&81&13&9&23&3&Any[[0.20868855857711963, 1.0288162171068542, 0.06249706959164178, 0.8517362880277679], [-0.2086885585771196, -1.028816217106854, -0.06249706959164181, -0.8517362880277678], [0.0, 0.0, 0.0, 0.0]]&Vector{ComplexF64}[[0.16011026090153643 + 0.1686897098392207im, -0.2092619629927394 + 0.4974321061891758im, 0.32676514286127684 + 0.14382830007340125im, -0.057682152258543055 + 0.25900921202316946im], [-0.16011026090153646 - 0.1686897098392207im, 0.20926196299273936 - 0.4974321061891759im, -0.3267651428612769 - 0.14382830007340125im, 0.05768215225854304 - 0.25900921202316946im], [-0.1601102609015364 + 0.16868970983922066im, 0.20926196299273936 + 0.49743210618917577im, -0.32676514286127684 + 0.14382830007340125im, 0.05768215225854304 + 0.25900921202316946im], [3.8115318229635024e-43 - 0.47305496000376673im, -3.587324068671532e-43 - 2.1329764133691405im, -1.1210387714598537e-43 - 0.1972708338950747im, -1.3452465257518244e-43 + 1.7765842203090985im], [-1.9815236097093116e-45 + 0.473054960003767im, 1.0509738482436128e-45 + 2.1329764133691405im, 6.130680781421075e-46 + 0.19727083389507466im, 8.758115402030107e-46 - 1.7765842203090985im], [0.20868855857711963 - 6.46992090692587e-35im, 1.0288162171068542 + 6.018531076210112e-36im, 0.06249706959164178 + 4.81482486096809e-35im, 0.8517362880277679 - 2.407412430484045e-35im], [-0.2086885585771196 - 2.8888949165808538e-34im, -1.028816217106854 - 3.3703774026776627e-34im, -0.06249706959164181 + 1.2037062152420224e-34im, -0.8517362880277678 - 1.925929944387236e-34im], [0.0 + 0.0im, 0.0 + 1.0064294952495521e-233im, 0.0 + 0.0im, 0.0 + 0.0im], [0.16011026090153643 - 0.1686897098392207im, -0.20926196299273936 - 0.4974321061891758im, 0.3267651428612769 - 0.14382830007340122im, -0.057682152258543035 - 0.25900921202316946im]]&Any[0.7777210007784754, 0.7777210007784756, 1.1532297098735131]&Any[0, 0, 1]
10&1&false&1&3&1&false&2&true&Any[0, 1]&true&100&true&1&1&Any[0, 1]&true&Any[0, 1]&true&Variable[w111, w112, w113, w211]&4&81&13&9&23&3&Any[[0.040064800288972705, -0.6973146205493332, -0.24113409424491358, 0.6376660462507062], [-0.04006480028897271, 0.6973146205493334, 0.24113409424491342, -0.6376660462507063], [0.0, 3.82537995199618e-203, -1.020640762992391e-202, 0.0]]&Vector{ComplexF64}[[3.923635700109488e-44 - 11.668893121761801im, -3.433181237595802e-44 - 1.6266731367134881im, 1.1630777253895982e-43 + 3.8648540076805653im, -2.4172398509603094e-44 + 12.22489803073957im], [-1.8488927466117464e-31 + 11.668893121761798im, -3.4666738998970245e-32 + 1.6266731367134892im, 1.232595164407831e-31 - 3.8648540076805693im, 2.465190328815662e-31 - 12.224898030739567im], [1.2037062152420224e-35 - 11.305857293342548im, 3.76158192263132e-36 - 1.669112566016687im, -6.018531076210112e-36 + 3.7144490018259093im, -1.3541694921472752e-35 - 11.847491108986377im], [0.040064800288972705 - 4.408103815583578e-39im, -0.6973146205493332 - 4.70197740328915e-38im, -0.24113409424491358 + 0.0im, 0.6376660462507062 + 0.0im], [-0.04006480028897271 - 4.276423536147513e-50im, 0.6973146205493334 - 6.842277657836021e-49im, 0.24113409424491342 - 6.842277657836021e-49im, -0.6376660462507063 - 6.842277657836021e-49im], [-7.174648137343063e-42 + 0.0023274729748179227im, 4.591774807899561e-41 - 0.8705515785600773im, -4.878760733393283e-41 - 0.28308923192560687im, 2.2958874039497803e-41 - 0.789887544268153im], [1.4349296274686127e-41 - 0.002327472974817933im, 6.887662211849341e-41 + 0.8705515785600773im, -5.165746658887006e-41 + 0.28308923192560675im, -9.183549615799121e-41 + 0.789887544268153im], [0.0 + 0.0im, 3.82537995199618e-203 - 1.91268997599809e-203im, -1.020640762992391e-202 + 0.0im, 0.0 + 0.0im], [3.76158192263132e-37 + 11.305857293342553im, 1.5516525430854195e-36 + 1.6691125660166841im, -5.078135595552282e-36 - 3.7144490018259004im, 1.222514124855179e-36 + 11.84749110898638im]]&Any[0.25175948554400474, 0.25175948554400474, 0.8840154953925364]&Any[0, 0, 1]
11&1&false&1&3&1&false&2&true&Any[0, 1]&true&100&true&1&1&Any[0, 1]&true&Any[0, 1]&true&Variable[w111, w112, w113, w211]&4&81&13&9&23&3&Any[[0.9032129100883107, 0.021697066956017193, 0.043158528136319874, 0.5116331439199231], [-0.9032129100883107, -0.021697066956017193, -0.04315852813631985, -0.5116331439199231], [-2.1669018866640854e-233, -1.9241655284482065e-233, -4.499722533980422e-233, -4.0257179809982083e-233]]&Vector{ComplexF64}[[-3.503787629402581 - 0.18494817046566983im, 0.12812727621373723 - 1.6649377836765284im, 0.06498279508637077 - 1.826624068760646im, -0.05339548073100787 + 0.41239200714602736im], [3.503787629402581 + 0.1849481704656701im, -0.12812727621373737 + 1.6649377836765282im, -0.06498279508637092 + 1.8266240687606463im, 0.05339548073100788 - 0.41239200714602736im], [-3.5037876294025807 + 0.1849481704656701im, 0.12812727621373737 + 1.664937783676528im, 0.06498279508637088 + 1.826624068760646im, -0.053395480731007874 - 0.41239200714602736im], [0.9032129100883107 + 9.62964972193618e-35im, 0.021697066956017193 - 4.81482486096809e-35im, 0.043158528136319874 + 7.222237291452134e-35im, 0.5116331439199231 - 9.62964972193618e-35im], [-0.9032129100883107 + 1.4693679385278594e-39im, -0.021697066956017193 + 5.877471754111438e-39im, -0.04315852813631985 + 0.0im, -0.5116331439199231 + 7.346839692639297e-40im], [-2.82118644197349e-37 + 1.3760291558027766im, 1.6456920911512025e-37 - 0.09863725599317469im, -2.350988701644575e-38 - 0.07841575541786236im, -3.5264830524668625e-38 - 0.7842030393265871im], [1.504632769052528e-36 - 1.3760291558027766im, -6.58276836460481e-37 + 0.0986372559931746im, 9.4039548065783e-38 + 0.07841575541786239im, 2.82118644197349e-37 + 0.7842030393265871im], [-2.1669018866640854e-233 + 0.0im, -1.9241655284482065e-233 + 1.0064294952495521e-233im, -4.499722533980422e-233 + 0.0im, -4.0257179809982083e-233 + 2.0128589904991042e-233im], [3.503787629402581 - 0.18494817046566928im, -0.12812727621373696 - 1.6649377836765282im, -0.0649827950863705 - 1.8266240687606463im, 0.053395480731007874 + 0.4123920071460274im]]&Any[0.1498271527023971, 0.1498271527023971, 0.4068938018543844]&Any[0, 0, 1]
