No.&H&convolution&di&dx&dy&fix_seed&m&reg&reg_dist_params&reg_parameterized&runcount&start_params_complex&stride&width&x_dist_params&x_parameterized&y_dist_params&y_parameterized&variables&n&CBB&BKK&N_C&N_DM&N_R&Real_sols&All_sols&L_values&Idx_vals
1&1&false&1&2&2&false&1&true&Any[0, 1]&true&100&true&1&1&Any[0, 1]&true&Any[0, 1]&true&Variable[w111, w112, w211, w221]&4&81&33&9&23&3&Any[[-0.08485580129467375, -0.09724776853757076, -0.18643629443782037, 0.01753129531399741], [0.0, 1.9934389902195135e-205, 0.0, 0.0], [0.0848558012946738, 0.0972477685375708, 0.18643629443782042, -0.017531295313997414]]&Vector{ComplexF64}[[-0.08485580129467375 - 7.346839692639297e-40im, -0.09724776853757076 - 1.1020259538958945e-39im, -0.18643629443782037 - 2.204051907791789e-39im, 0.01753129531399741 + 9.183549615799121e-41im], [-0.004373534644556162 + 0.3386390800259311im, -0.005012226368918045 + 0.388092438816022im, -0.38796316197157965 - 3.254712414727663im, 2.8378938175428314 - 0.3588289667845339im], [4.90454462513686e-45 + 0.438827981761857im, 1.401298464324817e-45 + 0.5029124862069393im, 0.0 - 0.9561978923564758im, -1.1210387714598537e-44 + 0.14303877817683716im], [-3.363116314379561e-44 - 0.43882798176185706im, 5.044674471569341e-44 - 0.5029124862069393im, 4.484155085839415e-44 + 0.9561978923564759im, 2.6904930515036488e-43 - 0.1430387781768372im], [0.004373534644556131 - 0.3386390800259315im, 0.005012226368918082 - 0.3880924388160217im, 0.3879631619715798 + 3.254712414727661im, -2.8378938175428297 + 0.35882896678453413im], [-0.004373534644556048 - 0.33863908002593074im, -0.005012226368918128 - 0.3880924388160223im, -0.3879631619715796 + 3.254712414727666im, 2.8378938175428345 + 0.35882896678453385im], [0.004373534644556243 + 0.33863908002593im, 0.005012226368917968 + 0.388092438816023im, 0.3879631619715796 - 3.2547124147276625im, -2.8378938175428314 - 0.35882896678453385im], [0.0 - 3.1895023843512216e-204im, 1.9934389902195135e-205 - 3.986877980439027e-204im, 0.0 - 6.379004768702443e-204im, 0.0 + 7.973755960878054e-205im], [0.0848558012946738 - 1.1479437019748901e-41im, 0.0972477685375708 - 1.1479437019748901e-41im, 0.18643629443782042 - 3.4438311059246704e-41im, -0.017531295313997414 + 2.8698592549372254e-42im]]&Any[0.09158199059902784, 0.09759476876607193, 0.09158199059902786]&Any[1, 1, 1]
2&1&false&1&2&2&false&1&true&Any[0, 1]&true&100&true&1&1&Any[0, 1]&true&Any[0, 1]&true&Variable[w111, w112, w211, w221]&4&81&33&9&23&3&Any[[-0.4803763755352449, -0.01851442385793998, 0.20164024533360697, 2.6402261921182997], [0.4803763755352449, 0.018514423857939985, -0.20164024533360697, -2.6402261921182997], [2.457103259886602e-237, 0.0, -1.3014867803586315e-237, -6.142758149716505e-238]]&Vector{ComplexF64}[[-3.009265538105056e-36 + 0.9635905940095539im, -2.350988701644575e-38 + 0.03713822242640272im, 6.018531076210112e-36 + 0.7723456958429348im, 0.0 + 1.3793254575011016im], [-0.15135290613509428 + 0.4613877490867836im, -0.005833367332425258 + 0.017782573799420415im, 0.2738631648650246 - 0.32079291974023894im, 0.9311147259207797 + 2.634700836680258im], [0.15135290613509428 + 0.46138774908678354im, 0.0058333673324252565 + 0.01778257379942041im, -0.2738631648650246 - 0.32079291974023894im, -0.9311147259207798 + 2.634700836680258im], [-0.15135290613509425 - 0.4613877490867836im, -0.005833367332425258 - 0.017782573799420415im, 0.2738631648650246 + 0.32079291974023894im, 0.9311147259207795 - 2.634700836680258im], [0.15135290613509425 - 0.46138774908678354im, 0.005833367332425254 - 0.01778257379942043im, -0.2738631648650246 + 0.32079291974023894im, -0.9311147259207798 - 2.634700836680258im], [-0.4803763755352449 + 4.622231866529366e-32im, -0.01851442385793998 + 3.4666738998970245e-33im, 0.20164024533360697 - 6.933347799794049e-33im, 2.6402261921182997 + 2.465190328815662e-31im], [0.4803763755352449 - 2.8698592549372254e-41im, 0.018514423857939985 - 2.421443746353284e-42im, -0.20164024533360697 + 2.8698592549372254e-42im, -2.6402261921182997 - 1.1479437019748901e-40im], [2.457103259886602e-237 + 0.0im, 0.0 + 0.0im, -1.3014867803586315e-237 - 1.4603017788986726e-242im, -6.142758149716505e-238 - 3.6356782185966964e-240im], [-9.4039548065783e-37 - 0.9635905940095539im, 1.087332274510616e-37 - 0.03713822242640272im, 1.128474576789396e-36 - 0.7723456958429348im, 7.52316384526264e-37 - 1.3793254575011018im]]&Any[0.04696417074122981, 0.04696417074122981, 0.920809097869418]&Any[0, 0, 1]
3&1&false&1&2&2&false&1&true&Any[0, 1]&true&100&true&1&1&Any[0, 1]&true&Any[0, 1]&true&Variable[w111, w112, w211, w221]&4&81&33&9&23&3&Any[[-0.46495776874015055, 0.39689639723088144, -0.6472640383912405, -0.4521056874136357], [0.46495776874015055, -0.39689639723088155, 0.6472640383912405, 0.4521056874136357], [-1.5947511921756108e-204, 7.973755960878054e-205, -1.5947511921756108e-204, 0.0]]&Vector{ComplexF64}[[-2.7550648847397363e-40 + 0.895469574419847im, -9.183549615799121e-41 - 0.7643890946915957im, -1.8367099231598242e-40 - 1.3465215463168607im, 0.0 - 0.5639265177303665im], [-0.04927077850413995 + 0.45391021250765584im, 0.042058431521729764 - 0.38746600255490166im, -1.3638240839237619 + 2.5083519573374224im, -3.153913895890817 - 1.8120108932048666im], [-0.46495776874015055 - 5.473822126268817e-48im, 0.39689639723088144 + 1.0947644252537633e-47im, -0.6472640383912405 - 1.0947644252537633e-47im, -0.4521056874136357 + 0.0im], [0.46495776874015055 + 6.267917999911377e-50im, -0.39689639723088155 - 7.15134128143551e-50im, 0.6472640383912405 + 0.0im, 0.4521056874136357 - 6.11466428271984e-51im], [0.04927077850414008 - 0.45391021250765573im, -0.04205843152172933 + 0.3874660025549019im, 1.363824083923761 - 2.5083519573374238im, 3.153913895890818 + 1.8120108932048653im], [-0.049270778504139925 - 0.4539102125076557im, 0.04205843152172977 + 0.38746600255490193im, -1.3638240839237612 - 2.5083519573374224im, -3.1539138958908164 + 1.8120108932048655im], [0.04927077850414004 + 0.453910212507656im, -0.04205843152172953 - 0.3874660025549012im, 1.3638240839237616 + 2.5083519573374233im, 3.1539138958908177 - 1.8120108932048662im], [-1.5947511921756108e-204 + 1.5947511921756108e-204im, 7.973755960878054e-205 - 1.5947511921756108e-204im, -1.5947511921756108e-204 + 7.973755960878054e-205im, 0.0 + 1.1960633941317081e-204im], [-4.591774807899561e-41 - 0.895469574419847im, -1.1479437019748901e-40 + 0.7643890946915958im, -4.591774807899561e-41 + 1.346521546316861im, 1.1479437019748901e-41 + 0.5639265177303664im]]&Any[0.13644994718145165, 0.13644994718145165, 0.2861434344767597]&Any[0, 0, 1]
4&1&false&1&2&2&false&1&true&Any[0, 1]&true&100&true&1&1&Any[0, 1]&true&Any[0, 1]&true&Variable[w111, w112, w211, w221]&4&81&33&9&23&3&Any[[0.6368320785170659, 0.6565259956064241, -0.2882292136449668, -1.4230705383616555], [-0.6368320785170659, -0.656525995606424, 0.2882292136449668, 1.4230705383616555], [0.0, 0.0, 0.0, 0.0]]&Vector{ComplexF64}[[-6.162975822039155e-33 + 0.6876839141963543im, 1.5407439555097887e-32 + 0.70895041512609im, -3.0814879110195774e-33 + 0.300888561277384im, -2.465190328815662e-32 + 1.5383003664637396im], [0.003997683757284587 + 0.16275751470552757im, 0.004121311405955397 + 0.16779076147246666im, -23.613460961162442 + 4.7368144916320025im, -4.167129144176115 - 20.77909470850985im], [0.6368320785170659 - 7.52316384526264e-37im, 0.6565259956064241 + 7.52316384526264e-37im, -0.2882292136449668 - 6.58276836460481e-37im, -1.4230705383616555 + 2.256949153578792e-36im], [-0.6368320785170659 + 1.9259299443872359e-32im, -0.656525995606424 + 2.9274135154685985e-32im, 0.2882292136449668 + 1.5407439555097887e-32im, 1.4230705383616555 + 3.697785493223493e-32im], [-0.003997683757284587 - 0.16275751470552757im, -0.004121311405955397 - 0.16779076147246666im, 23.613460961162442 - 4.7368144916320025im, 4.167129144176115 + 20.77909470850985im], [0.003997683757284587 - 0.16275751470552757im, 0.004121311405955397 - 0.16779076147246666im, -23.613460961162442 - 4.7368144916320025im, -4.167129144176115 + 20.77909470850985im], [-0.003997683757284587 + 0.16275751470552757im, -0.004121311405955397 + 0.16779076147246666im, 23.613460961162442 + 4.7368144916320025im, 4.167129144176115 - 20.77909470850985im], [0.0 - 3.931365215818563e-236im, 0.0 + 0.0im, 0.0 + 0.0im, 0.0 + 0.0im], [4.304788882405838e-42 - 0.6876839141963543im, -9.327042578545982e-42 - 0.70895041512609im, 1.793662034335766e-42 - 0.30088856127738395im, 7.174648137343063e-42 - 1.5383003664637396im]]&Any[0.13070834501535472, 0.13070834501535475, 2.6079493622534957]&Any[0, 0, 1]
5&1&false&1&2&2&false&1&true&Any[0, 1]&true&100&true&1&1&Any[0, 1]&true&Any[0, 1]&true&Variable[w111, w112, w211, w221]&4&81&33&8&23&2&Any[[-1.0527330420072174, -0.30075356717852697, 1.0526180613469502, 0.3132321024282963], [1.0527330420072174, 0.300753567178527, -1.0526180613469502, -0.31323210242829624]]&Vector{ComplexF64}[[2.802596928649634e-45 + 1.578068899479911im, 8.407790785948902e-45 + 0.45083590220285086im, 4.90454462513686e-45 + 1.5906786670869861im, -2.802596928649634e-45 + 0.4142120768691521im], [-1.0527330420072174 + 0.0im, -0.30075356717852697 + 0.0im, 1.0526180613469502 + 2.407412430484045e-35im, 0.3132321024282963 - 6.018531076210112e-36im], [-0.01863544274223026 + 0.7654967224073247im, -0.005323928913630954 + 0.2186934965853333im, 3.2023273985144565 - 11.46387565452234im, 12.567915111077774 + 3.5251121291078906im], [0.01863544274223026 - 0.7654967224073247im, 0.005323928913630954 - 0.2186934965853333im, -3.2023273985144565 + 11.46387565452234im, -12.567915111077774 - 3.5251121291078906im], [1.0527330420072174 + 0.0im, 0.300753567178527 - 6.018531076210112e-36im, -1.0526180613469502 - 1.2037062152420224e-35im, -0.31323210242829624 - 6.018531076210112e-36im], [-0.01863544274223026 - 0.7654967224073247im, -0.005323928913630954 - 0.2186934965853333im, 3.2023273985144565 + 11.46387565452234im, 12.567915111077774 - 3.5251121291078906im], [0.01863544274223026 + 0.7654967224073247im, 0.005323928913630954 + 0.2186934965853333im, -3.2023273985144565 - 11.46387565452234im, -12.567915111077774 + 3.5251121291078906im], [-7.099748146989106e-30 - 1.5780688994799112im, -2.1693674893577825e-30 - 0.45083590220285086im, -3.1554436208840472e-30 - 1.5906786670869861im, 1.6073040943878116e-29 - 0.41421207686915207im]]&Any[0.29516508456832957, 0.29516508456832957]&Any[0, 0]
6&1&false&1&2&2&false&1&true&Any[0, 1]&true&100&true&1&1&Any[0, 1]&true&Any[0, 1]&true&Variable[w111, w112, w211, w221]&4&81&33&9&23&3&Any[[1.004250881289993, 0.019680399120961912, 1.1792059817693783, 0.3312169326650618], [-1.004250881289993, -0.0196803991209619, -1.1792059817693783, -0.3312169326650618], [-4.021955377564914e-264, -4.962080516648048e-264, -3.1757315306547506e-263, 0.0]]&Vector{ComplexF64}[[-5.473822126268817e-47 - 1.0955777295905273im, 5.473822126268817e-48 - 0.02147013997008656im, -4.3790577010150533e-47 + 1.2155158967970516im, -2.1895288505075267e-47 + 0.43435765486044486im], [1.004250881289993 - 4.513898307157584e-35im, 0.019680399120961912 + 0.0im, 1.1792059817693783 + 4.81482486096809e-35im, 0.3312169326650618 + 1.0532429383367696e-35im], [-0.06771536990235508 - 0.4129307618940281im, -0.0013270244827567658 - 0.008092243038869493im, -1.5262176333742328 + 4.291682308789822im, -2.4409133482987055 - 0.885004410360863im], [0.06771536990235508 + 0.4129307618940281im, 0.001327024482756836 + 0.008092243038869526im, 1.5262176333742326 - 4.291682308789822im, 2.4409133482987055 + 0.885004410360863im], [-1.004250881289993 + 5.115751414778595e-35im, -0.0196803991209619 - 1.410593220986745e-37im, -1.1792059817693783 - 6.620384183831123e-35im, -0.3312169326650618 - 1.0532429383367696e-35im], [-0.06771536990235509 + 0.4129307618940281im, -0.0013270244827567235 + 0.008092243038869696im, -1.5262176333742328 - 4.291682308789823im, -2.440913348298706 + 0.8850044103608631im], [0.06771536990235502 - 0.4129307618940281im, 0.0013270244827567781 - 0.008092243038869563im, 1.5262176333742326 + 4.291682308789824im, 2.440913348298707 - 0.8850044103608629im], [-4.021955377564914e-264 + 0.0im, -4.962080516648048e-264 + 0.0im, -3.1757315306547506e-263 + 6.351463061309501e-263im, 0.0 - 2.808758704268362e-263im], [3.122406869371701e-39 + 1.0955777295905271im, -5.553177658303531e-40 + 0.021470139970086573im, 5.142787784847508e-39 - 1.2155158967970516im, 3.6734198463196485e-39 - 0.43435765486044486im]]&Any[0.2146564954041133, 0.2146564954041133, 3.6340206708502465]&Any[0, 0, 1]
7&1&false&1&2&2&false&1&true&Any[0, 1]&true&100&true&1&1&Any[0, 1]&true&Any[0, 1]&true&Variable[w111, w112, w211, w221]&4&81&33&9&23&3&Any[[-0.05568448565138407, -0.770063234123429, -0.5007504336857931, -0.09239965905109782], [2.491798737774392e-206, -1.7518699311637402e-207, 0.0, 9.702116748485887e-207], [0.05568448565138407, 0.770063234123429, 0.5007504336857931, 0.09239965905109783]]&Vector{ComplexF64}[[-0.05568448565138407 - 2.7550648847397363e-40im, -0.770063234123429 + 3.6734198463196485e-40im, -0.5007504336857931 - 3.6734198463196485e-40im, -0.09239965905109782 + 1.8367099231598242e-40im], [-0.0012297766691093089 + 0.014166518521510164im, -0.017006636372519163 + 0.19590941608477322im, -0.24733687530148527 + 1.311264310473539im, -2.1821029484013255 - 0.41370133699413775im], [7.605127025583647e-41 + 0.06471255584026209im, -2.2958874039497803e-41 + 0.8949128191777884im, 0.0 - 0.5830629083354925im, 5.739718509874451e-42 - 0.08866857442299703im], [-1.6358197753142185e-40 - 0.06471255584026209im, -2.2958874039497803e-41 - 0.8949128191777884im, -2.2958874039497803e-41 + 0.5830629083354925im, -2.2958874039497803e-41 + 0.08866857442299703im], [0.0012297766691093208 - 0.01416651852150993im, 0.017006636372519156 - 0.1959094160847733im, 0.24733687530148527 - 1.3112643104735393im, 2.182102948401326 + 0.4137013369941377im], [-0.0012297766691093089 - 0.014166518521510164im, -0.017006636372519163 - 0.19590941608477322im, -0.24733687530148527 - 1.311264310473539im, -2.1821029484013255 + 0.41370133699413775im], [0.0012297766691094162 + 0.014166518521510213im, 0.017006636372519143 + 0.19590941608477325im, 0.2473368753014853 + 1.311264310473539im, 2.1821029484013255 - 0.4137013369941378im], [2.491798737774392e-206 + 0.0im, -1.7518699311637402e-207 + 0.0im, 0.0 + 0.0im, 9.702116748485887e-207 + 1.9404233496971774e-206im], [0.05568448565138407 + 1.7219155529623352e-40im, 0.770063234123429 - 5.510129769479473e-40im, 0.5007504336857931 + 3.6734198463196485e-40im, 0.09239965905109783 + 9.183549615799121e-41im]]&Any[0.14338042257852734, 0.8404900952913467, 0.14338042257852734]&Any[0, 1, 0]
8&1&false&1&2&2&false&1&true&Any[0, 1]&true&100&true&1&1&Any[0, 1]&true&Any[0, 1]&true&Variable[w111, w112, w211, w221]&4&81&33&9&23&3&Any[[0.45219310692829356, -1.2687435954561046, 0.8112654061978503, -0.5489858850500925], [-0.45219310692829345, 1.2687435954561046, -0.8112654061978501, 0.5489858850500926], [1.1056964669489708e-236, 1.9858411082706478e-237, 2.457103259886602e-237, 0.0]]&Vector{ComplexF64}[[0.0012045795981417754 + 0.19303729879977577im, -0.003379756628169434 - 0.541615590295136im, 57.228093345028775 - 84.2185549570346im, -83.09487362414157 - 56.46549591253661im], [-0.0012045795981417754 + 0.19303729879977577im, 0.003379756628169434 - 0.541615590295136im, -57.228093345028775 - 84.2185549570346im, 83.09487362414157 - 56.46549591253661im], [0.45219310692829356 - 7.006492321624085e-45im, -1.2687435954561046 + 2.802596928649634e-45im, 0.8112654061978503 - 2.802596928649634e-45im, -0.5489858850500925 - 7.006492321624085e-45im], [-0.45219310692829345 + 1.401298464324817e-45im, 1.2687435954561046 + 2.1019476964872256e-45im, -0.8112654061978501 + 7.006492321624085e-46im, 0.5489858850500926 - 3.503246160812043e-46im], [0.0012045795981417754 - 0.19303729879977577im, -0.003379756628169434 + 0.541615590295136im, 57.228093345028775 + 84.2185549570346im, -83.09487362414157 + 56.46549591253661im], [1.3481509610710651e-33 - 0.5275343447272509im, 3.0814879110195774e-33 + 1.4801327375429623im, -3.274080905458301e-33 + 0.943924538353784im, 3.851859888774472e-33 - 0.6440475182753593im], [-1.1555579666323415e-33 + 0.5275343447272511im, 1.1555579666323415e-33 - 1.4801327375429623im, -1.1555579666323415e-33 - 0.943924538353784im, 3.851859888774472e-34 + 0.6440475182753593im], [1.1056964669489708e-236 + 1.474261955931961e-236im, 1.9858411082706478e-237 + 4.914206519773204e-237im, 2.457103259886602e-237 + 2.457103259886602e-237im, 0.0 + 0.0im], [-0.0012045795981417754 - 0.19303729879977577im, 0.003379756628169434 + 0.541615590295136im, -57.228093345028775 + 84.2185549570346im, 83.09487362414157 + 56.46549591253661im]]&Any[0.15619656771337234, 0.15619656771337237, 1.5034469202551892]&Any[0, 0, 1]
9&1&false&1&2&2&false&1&true&Any[0, 1]&true&100&true&1&1&Any[0, 1]&true&Any[0, 1]&true&Variable[w111, w112, w211, w221]&4&81&33&9&23&3&Any[[0.1777986274876961, -6.4567296704527, -0.5605672927142512, -0.46798792499950564], [-7.862730431637126e-236, -1.5725460863274251e-235, -1.9286507232843203e-236, 2.35582201380839e-236], [-0.1777986274876961, 6.4567296704527, 0.5605672927142512, 0.46798792499950564]]&Vector{ComplexF64}[[0.1777986274876961 + 1.1754943508222875e-38im, -6.4567296704527 + 7.52316384526264e-37im, -0.5605672927142512 - 4.70197740328915e-38im, -0.46798792499950564 - 5.877471754111438e-38im], [-0.008601277915964756 + 0.07575512727670519im, 0.31235407780454216 - 2.7510357356964183im, 2.3237281192300183 - 2.989039607283923im, 3.77234846935807 + 2.948318836056743im], [1.0017094491071935e-45 - 0.2135776074866636im, 1.401298464324817e-44 + 7.756037797866973im, 1.401298464324817e-45 - 0.7018494032496768im, 7.006492321624085e-46 - 0.5032216718669733im], [-6.56858655152258e-47 + 0.21357760748666357im, 0.0 - 7.756037797866973im, -5.254869241218064e-46 + 0.7018494032496769im, 7.006492321624085e-46 + 0.5032216718669732im], [0.00860127791596663 - 0.07575512727670572im, -0.3123540778045349 + 2.751035735696416im, -2.3237281192300174 + 2.9890396072839227im, -3.772348469358069 - 2.948318836056742im], [-0.00860127791596663 - 0.07575512727670572im, 0.3123540778045349 + 2.751035735696416im, 2.3237281192300174 + 2.9890396072839227im, 3.772348469358069 - 2.948318836056742im], [0.00860127791596663 + 0.07575512727670572im, -0.3123540778045349 - 2.751035735696416im, -2.3237281192300174 - 2.9890396072839227im, -3.772348469358069 + 2.948318836056742im], [-7.862730431637126e-236 - 6.290184345309701e-235im, -1.5725460863274251e-235 - 3.7741106071858203e-234im, -1.9286507232843203e-236 + 0.0im, 2.35582201380839e-236 - 2.3588191294911377e-235im], [-0.1777986274876961 - 9.027796614315168e-36im, 6.4567296704527 + 1.925929944387236e-34im, 0.5605672927142512 + 3.009265538105056e-36im, 0.46798792499950564 - 1.504632769052528e-35im]]&Any[0.13544739030992403, 1.0498149067314149, 0.13544739030992403]&Any[0, 1, 0]
10&1&false&1&2&2&false&1&true&Any[0, 1]&true&100&true&1&1&Any[0, 1]&true&Any[0, 1]&true&Variable[w111, w112, w211, w221]&4&81&33&9&23&3&Any[[-1.0587770808167682, 1.5956330080253136, 3.612391354525923, -0.7687380679655004], [1.0587770808167685, -1.5956330080253136, -3.6123913545259234, 0.7687380679655004], [3.931365215818563e-236, -6.765634970337684e-236, 9.662840888633553e-236, 2.3588191294911377e-235]]&Vector{ComplexF64}[[6.887662211849341e-41 + 2.8950667831133483im, 2.2958874039497803e-40 - 4.363018621454995im, 4.591774807899561e-41 + 2.0915407901571985im, 4.591774807899561e-41 - 3.804501844537763im], [-0.3655179098462129 + 1.4291946703677016im, 0.5508548046063834 - 2.153871888852514im, 1.8953284334666092 + 4.466393187814222im, -1.0950991680121662 + 1.6847967905324268im], [0.3655179098462129 + 1.4291946703677016im, -0.550854804606383 - 2.153871888852514im, -1.895328433466609 + 4.466393187814222im, 1.0950991680121662 + 1.6847967905324266im], [-0.36551790984621285 - 1.4291946703677016im, 0.5508548046063834 + 2.1538718888525135im, 1.8953284334666092 - 4.466393187814222im, -1.0950991680121662 - 1.6847967905324268im], [0.36551790984621285 - 1.4291946703677019im, -0.5508548046063837 + 2.1538718888525126im, -1.8953284334666092 - 4.466393187814222im, 1.0950991680121662 - 1.6847967905324266im], [-1.0587770808167682 + 4.81482486096809e-35im, 1.5956330080253136 + 3.851859888774472e-34im, 3.612391354525923 - 3.851859888774472e-34im, -0.7687380679655004 - 9.62964972193618e-35im], [1.0587770808167685 - 4.81482486096809e-35im, -1.5956330080253136 - 2.407412430484045e-35im, -3.6123913545259234 + 0.0im, 0.7687380679655004 - 2.407412430484045e-35im], [3.931365215818563e-236 + 3.931365215818563e-236im, -6.765634970337684e-236 - 6.290184345309701e-235im, 9.662840888633553e-236 - 3.1450921726548502e-235im, 2.3588191294911377e-235 + 0.0im], [1.1479437019748901e-41 - 2.895066783113348im, 3.4438311059246704e-41 + 4.363018621454994im, -3.4438311059246704e-41 - 2.0915407901571985im, -2.2958874039497803e-41 + 3.804501844537763im]]&Any[1.7449971381234437, 1.7449971381234435, 3.4461394504578173]&Any[0, 0, 1]
11&1&false&1&2&2&false&1&true&Any[0, 1]&true&100&true&1&1&Any[0, 1]&true&Any[0, 1]&true&Variable[w111, w112, w211, w221]&4&81&33&9&23&3&Any[[0.9837618424727288, -0.19161269631596045, 0.21091795540334143, -1.6327341226782681], [3.986877980439027e-205, 1.9934389902195135e-205, -1.2177217291359321e-206, 9.967194951097568e-206], [-0.983761842472729, 0.19161269631596028, -0.21091795540334143, 1.6327341226782681]]&Vector{ComplexF64}[[0.9837618424727288 + 1.0833355937178202e-34im, -0.19161269631596045 - 3.912045199536573e-35im, 0.21091795540334143 - 1.504632769052528e-36im, -1.6327341226782681 + 2.6481536735324493e-34im], [-0.21534336167182078 - 0.6976474923244582im, 0.04194360909543461 + 0.1358846331611634im, -0.5435928752266838 - 0.3009159014724045im, 0.8657617862666385 - 2.338110036201571im], [-4.203895392974451e-45 - 1.2997960155336927im, -4.028733084933849e-45 + 0.25316840768202137im, 5.605193857299268e-45 + 0.5119091295298699im, -7.707141553786494e-45 - 1.335765475957555im], [5.605193857299268e-44 + 1.2997960155336927im, 2.802596928649634e-45 - 0.25316840768202137im, -2.2420775429197073e-44 - 0.5119091295298699im, -2.2420775429197073e-44 + 1.335765475957555im], [0.21534336167182092 + 0.6976474923244578im, -0.04194360909543458 - 0.13588463316116373im, 0.5435928752266836 + 0.3009159014724045im, -0.8657617862666386 + 2.3381100362015714im], [-0.21534336167182092 + 0.6976474923244582im, 0.041943609095434604 - 0.1358846331611634im, -0.5435928752266834 + 0.3009159014724045im, 0.8657617862666386 + 2.3381100362015705im], [0.2153433616718211 - 0.6976474923244572im, -0.04194360909543446 + 0.13588463316116403im, 0.5435928752266835 - 0.3009159014724045im, -0.8657617862666386 - 2.3381100362015705im], [3.986877980439027e-205 - 6.358118766962299e-205im, 1.9934389902195135e-205 - 4.29757859642272e-205im, -1.2177217291359321e-206 + 3.986877980439027e-205im, 9.967194951097568e-206 - 9.967194951097568e-206im], [-0.983761842472729 + 4.304788882405838e-42im, 0.19161269631596028 + 1.2555634240350361e-42im, -0.21091795540334143 - 2.2420775429197073e-44im, 1.6327341226782681 + 2.5111268480700722e-42im]]&Any[0.051870789559030815, 1.3924151877749913, 0.051870789559030794]&Any[0, 1, 0]
