No.&H&convolution&di&dx&dy&fix_seed&m&reg&reg_dist_params&reg_parameterized&runcount&start_params_complex&stride&width&x_dist_params&x_parameterized&y_dist_params&y_parameterized&variables&n&CBB&BKK&N_C&N_DM&N_R&Real_sols&All_sols&L_values&Idx_vals
1&1&false&1&3&1&false&1&true&Any[0, 1]&true&100&true&1&1&Any[0, 1]&true&Any[0, 1]&true&Variable[w111, w112, w113, w211]&4&81&13&5&23&3&Any[[0.0, -3.0713790748582522e-238, 0.0, 1.228551629943301e-237], [0.0036145889204536397, 0.016199180328660304, 0.4249931064562921, -0.4859465083325964], [-0.0036145889204536393, -0.0161991803286603, -0.4249931064562921, 0.4859465083325964]]&Vector{ComplexF64}[[-1.363183146095182e-40 - 0.004368779019935099im, -2.4106817741472693e-40 - 0.019579166737199744im, -7.346839692639297e-40 - 0.5136686378351081im, 7.346839692639297e-40 - 0.587340070236182im], [8.753070727558537e-41 + 0.004368779019935099im, 2.1236958486535468e-40 + 0.019579166737199744im, 1.1938614500538858e-39 + 0.5136686378351081im, 0.0 + 0.587340070236182im], [0.0 + 0.0im, -3.0713790748582522e-238 - 1.228551629943301e-237im, 0.0 - 6.142758149716505e-238im, 1.228551629943301e-237 + 4.914206519773204e-237im], [0.0036145889204536397 - 2.2958874039497803e-41im, 0.016199180328660304 - 1.1479437019748901e-40im, 0.4249931064562921 - 2.571393892423754e-39im, -0.4859465083325964 - 1.4693679385278594e-39im], [-0.0036145889204536393 + 4.137740114894452e-36im, -0.0161991803286603 + 2.3321807920314184e-35im, -0.4249931064562921 + 4.81482486096809e-34im, 0.4859465083325964 + 5.7777898331617076e-34im]]&Any[0.26836253613213845, 0.04199637437267245, 0.04199637437267245]&Any[1, 0, 0]
2&1&false&1&3&1&false&1&true&Any[0, 1]&true&100&true&1&1&Any[0, 1]&true&Any[0, 1]&true&Variable[w111, w112, w113, w211]&4&81&13&4&23&2&Any[[0.24729013530875318, -0.1715309258522597, -1.7447848560152297, 1.141229837220323], [-0.24729013530875318, 0.17153092585225974, 1.7447848560152295, -1.141229837220323]]&Vector{ComplexF64}[[0.24729013530875318 + 2.407412430484045e-35im, -0.1715309258522597 + 6.018531076210112e-36im, -1.7447848560152297 - 4.81482486096809e-35im, 1.141229837220323 + 4.81482486096809e-35im], [-0.24729013530875318 + 0.0im, 0.17153092585225974 + 0.0im, 1.7447848560152295 + 4.81482486096809e-35im, -1.141229837220323 + 4.81482486096809e-35im], [9.183549615799121e-41 - 0.30547160867001794im, 2.5254761443447583e-40 + 0.21188806335249208im, -2.571393892423754e-39 + 2.1552911363997804im, 3.6734198463196485e-40 + 1.409734010629478im], [2.2420775429197073e-44 + 0.30547160867001794im, 4.484155085839415e-44 - 0.21188806335249202im, 7.398855891635034e-43 - 2.155291136399781im, -1.793662034335766e-43 - 1.409734010629478im]]&Any[0.054789899684477505, 0.05478989968447752]&Any[0, 0]
3&1&false&1&3&1&false&1&true&Any[0, 1]&true&100&true&1&1&Any[0, 1]&true&Any[0, 1]&true&Variable[w111, w112, w113, w211]&4&81&13&5&23&3&Any[[-3.986877980439027e-205, 0.0, 3.986877980439027e-205, 0.0], [0.3503520466654586, 0.16574881837047165, 0.5940898441033485, -1.0548864230016541], [-0.35035204666545855, -0.16574881837047165, -0.5940898441033485, 1.0548864230016541]]&Vector{ComplexF64}[[5.877471754111438e-39 - 0.4425485464659984im, -2.938735877055719e-39 - 0.20936626272473483im, 2.938735877055719e-39 - 0.7504268905533104im, 7.346839692639297e-40 - 1.3324838762305542im], [2.938735877055719e-39 + 0.4425485464659985im, -1.4693679385278594e-39 + 0.209366262724735im, 7.346839692639297e-39 + 0.7504268905533101im, -5.877471754111438e-39 + 1.3324838762305544im], [-3.986877980439027e-205 - 1.9934389902195135e-205im, 0.0 - 9.967194951097568e-206im, 3.986877980439027e-205 + 1.9934389902195135e-205im, 0.0 + 5.257145671394323e-206im], [0.3503520466654586 - 2.8698592549372254e-41im, 0.16574881837047165 + 4.0178029569121155e-41im, 0.5940898441033485 + 4.591774807899561e-41im, -1.0548864230016541 - 9.183549615799121e-41im], [-0.35035204666545855 - 2.2958874039497803e-41im, -0.16574881837047165 - 6.428484731059385e-40im, -0.5940898441033485 - 3.9030085867146265e-40im, 1.0548864230016541 - 3.6734198463196485e-40im]]&Any[0.8138424592853177, 0.1765508525006694, 0.17655085250066938]&Any[1, 0, 0]
4&1&false&1&3&1&false&1&true&Any[0, 1]&true&100&true&1&1&Any[0, 1]&true&Any[0, 1]&true&Variable[w111, w112, w113, w211]&4&81&13&5&23&3&Any[[-0.42537185218003537, -0.08502702006624745, 0.02053848630744927, 1.72149646631553], [0.4253718521800354, 0.08502702006624724, -0.02053848630744925, -1.72149646631553], [2.457103259886602e-237, 0.0, 6.959884976408081e-238, 1.228551629943301e-237]]&Vector{ComplexF64}[[-0.42537185218003537 - 3.76158192263132e-35im, -0.08502702006624745 + 3.76158192263132e-37im, 0.02053848630744927 + 2.82118644197349e-36im, 1.72149646631553 - 1.5648180798146291e-34im], [0.4253718521800354 + 4.0625084764418256e-35im, 0.08502702006624724 - 1.692711865184094e-35im, -0.02053848630744925 - 5.172175143618065e-37im, -1.72149646631553 + 1.3842621475283258e-34im], [2.457103259886602e-237 + 3.931365215818563e-236im, 0.0 - 7.862730431637126e-236im, 6.959884976408081e-238 + 1.9656826079092814e-236im, 1.228551629943301e-237 + 3.931365215818563e-236im], [5.877471754111438e-38 - 0.4391317733943451im, 1.35916534313827e-38 - 0.08777747262017847im, -1.1066177287037941e-38 + 0.021202864902326268im, -2.82118644197349e-37 - 1.7771834038169532im], [-1.88079096131566e-37 + 0.4391317733943452im, -1.087332274510616e-37 + 0.08777747262017827im, 2.644862289350147e-38 - 0.021202864902326247im, 9.4039548065783e-37 + 1.7771834038169534im]]&Any[0.00573184306160562, 0.005731843061605619, 0.6770401963570841]&Any[0, 0, 1]
5&1&false&1&3&1&false&1&true&Any[0, 1]&true&100&true&1&1&Any[0, 1]&true&Any[0, 1]&true&Variable[w111, w112, w113, w211]&4&81&13&5&23&1&Any[[1.0190100301687084e-206, 0.0, 0.0, -1.9934389902195135e-205]]&Vector{ComplexF64}[[0.0 - 0.18094199686884652im, 0.0 - 0.19247141830323689im, -5.473822126268817e-48 + 0.49962745898072414im, 8.210733189403225e-48 - 0.6420347456517925im], [4.622231866529366e-33 + 0.18094199686884646im, 3.851859888774472e-33 + 0.1924714183032368im, -1.5407439555097887e-33 - 0.49962745898072414im, 1.5407439555097887e-33 + 0.6420347456517924im], [1.0190100301687084e-206 + 0.0im, 0.0 - 1.245899368887196e-206im, 0.0 + 9.967194951097568e-206im, -1.9934389902195135e-205 + 3.986877980439027e-205im], [-6.887662211849341e-41 + 0.14329107968287813im, 3.4438311059246704e-41 + 0.15242142683302143im, 0.0 - 0.3956635788011864im, -1.3775324423698682e-40 - 0.5084383586473342im], [1.4444474582904269e-34 - 0.14329107968287813im, 0.0 - 0.15242142683302146im, 0.0 + 0.39566357880118647im, 0.0 + 0.5084383586473342im]]&Any[0.004532016820478746]&Any[0]
6&1&false&1&3&1&false&1&true&Any[0, 1]&true&100&true&1&1&Any[0, 1]&true&Any[0, 1]&true&Variable[w111, w112, w113, w211]&4&81&13&5&23&3&Any[[0.0, 3.931365215818563e-236, 0.0, 0.0], [-0.07802653824003089, 0.3567152741706382, -0.05549938259351663, -0.7076435846827801], [0.07802653824003088, -0.35671527417063825, 0.055499382593516625, 0.7076435846827801]]&Vector{ComplexF64}[[1.1472824864025526e-35 + 0.09687295903602881im, 8.275480229788904e-36 - 0.4428757820314184im, -1.128474576789396e-36 + 0.06890462575652637im, -6.018531076210112e-36 - 0.8785668253050061im], [1.7679435036367204e-35 - 0.09687295903602881im, -4.513898307157584e-36 + 0.4428757820314184im, -3.76158192263132e-37 - 0.06890462575652638im, 6.018531076210112e-36 + 0.8785668253050061im], [0.0 + 0.0im, 3.931365215818563e-236 - 1.9656826079092814e-236im, 0.0 + 0.0im, 0.0 + 0.0im], [-0.07802653824003089 + 0.0im, 0.3567152741706382 - 9.62964972193618e-35im, -0.05549938259351663 + 3.611118645726067e-35im, -0.7076435846827801 - 6.831032771498477e-34im], [0.07802653824003088 + 2.834968878138011e-31im, -0.35671527417063825 - 1.0846837446788912e-30im, 0.055499382593516625 + 1.8488927466117464e-31im, 0.7076435846827801 - 5.97808654737798e-31im]]&Any[0.17973425472347182, 0.025398798962934493, 0.025398798962934486]&Any[1, 0, 0]
7&1&false&1&3&1&false&1&true&Any[0, 1]&true&100&true&1&1&Any[0, 1]&true&Any[0, 1]&true&Variable[w111, w112, w113, w211]&4&81&13&5&23&3&Any[[0.6853540450253948, -0.04644399529296231, 0.021793835847374213, 0.42566423377121115], [-0.6853540450253948, 0.04644399529296231, -0.02179383584737421, -0.42566423377121115], [-1.657886232201298e-207, 6.22949684443598e-207, -3.11474842221799e-207, -1.245899368887196e-206]]&Vector{ComplexF64}[[0.6853540450253948 - 9.244463733058732e-33im, -0.04644399529296231 - 5.7777898331617076e-34im, 0.021793835847374213 + 1.925929944387236e-34im, 0.42566423377121115 + 9.244463733058732e-33im], [-0.6853540450253948 + 0.0im, 0.04644399529296231 + 1.3481509610710651e-33im, -0.02179383584737421 - 3.851859888774472e-34im, -0.42566423377121115 - 9.244463733058732e-33im], [-1.657886232201298e-207 + 0.0im, 6.22949684443598e-207 - 2.5301929491421626e-208im, -3.11474842221799e-207 - 3.11474842221799e-207im, -1.245899368887196e-206 + 6.674083363527235e-208im], [-7.346839692639297e-40 + 0.9215973580746867im, 9.183549615799121e-41 - 0.062453360669726884im, -4.591774807899561e-41 + 0.029306227467453306im, 0.0 - 0.5723917967915375im], [1.1754943508222875e-38 - 0.9215973580746868im, -9.183549615799121e-39 + 0.06245336066972691im, 4.224432823267596e-39 - 0.029306227467453334im, -1.1754943508222875e-38 + 0.5723917967915375im]]&Any[0.04081089989272741, 0.04081089989272741, 0.19540605790539217]&Any[0, 0, 1]
8&1&false&1&3&1&false&1&true&Any[0, 1]&true&100&true&1&1&Any[0, 1]&true&Any[0, 1]&true&Variable[w111, w112, w113, w211]&4&81&13&5&23&3&Any[[0.0, 0.0, 0.0, 0.0], [0.0960435509013241, -0.24718012862704483, 0.18275718020651746, -0.23392807527436058], [-0.0960435509013241, 0.24718012862704483, -0.18275718020651746, 0.23392807527436055]]&Vector{ComplexF64}[[2.350988701644575e-37 - 0.21827967479642305im, 2.82118644197349e-37 + 0.5617701301806568im, 9.4039548065783e-38 - 0.41535509139156507im, 1.88079096131566e-37 - 0.5316519820170106im], [4.9370762734536075e-37 + 0.2182796747964231im, 1.410593220986745e-37 - 0.5617701301806568im, 1.88079096131566e-37 + 0.4153550913915652im, 0.0 + 0.5316519820170106im], [0.0 + 0.0im, 0.0 + 0.0im, 0.0 + 0.0im, 0.0 + 0.0im], [0.0960435509013241 - 9.62964972193618e-35im, -0.24718012862704483 + 0.0im, 0.18275718020651746 - 5.7777898331617076e-34im, -0.23392807527436058 + 5.7777898331617076e-34im], [-0.0960435509013241 + 0.0im, 0.24718012862704483 + 0.0im, -0.18275718020651746 - 4.304788882405838e-42im, 0.23392807527436055 + 2.8698592549372254e-42im]]&Any[0.09154523252233317, 0.06456279047308076, 0.06456279047308076]&Any[1, 0, 0]
9&1&false&1&3&1&false&1&true&Any[0, 1]&true&100&true&1&1&Any[0, 1]&true&Any[0, 1]&true&Variable[w111, w112, w113, w211]&4&81&13&5&23&1&Any[[0.0, 0.0, 0.0, 0.0]]&Vector{ComplexF64}[[-2.802596928649634e-44 + 0.036800622040349576im, 2.2420775429197073e-44 - 0.03531272337340464im, 8.96831017167883e-44 - 0.6313928043932965im, 1.1210387714598537e-43 - 0.2542619066524936im], [0.0 - 0.036800622040349576im, -1.1210387714598537e-44 + 0.03531272337340464im, 0.0 + 0.6313928043932965im, -6.726232628759122e-44 + 0.2542619066524936im], [0.0 - 7.678447687145631e-239im, 0.0 + 1.5356895374291261e-238im, 0.0 + 2.0537061646302946e-237im, 0.0 - 2.457103259886602e-237im], [-3.4438311059246704e-41 - 0.028373700237850234im, 2.2958874039497803e-41 + 0.027226513358402815im, 3.2142423655296924e-40 + 0.4868110692408511im, -1.1479437019748901e-40 - 0.19603883633684313im], [2.2420775429197073e-44 + 0.02837370023785024im, -2.2420775429197073e-44 - 0.027226513358402826im, -1.793662034335766e-43 - 0.48681106924085116im, 1.3452465257518244e-43 + 0.19603883633684316im]]&Any[0.0015815370389785075]&Any[0]
10&1&false&1&3&1&false&1&true&Any[0, 1]&true&100&true&1&1&Any[0, 1]&true&Any[0, 1]&true&Variable[w111, w112, w113, w211]&4&81&13&5&23&3&Any[[1.2580368690619401e-234, 3.931365215818563e-236, -1.2123275061960277e-235, 4.0471534793371515e-235], [-0.502198102223979, -0.0167160516645657, 0.056789557329579576, -0.3221883762285707], [0.502198102223979, 0.016716051664565697, -0.05678955732957957, 0.3221883762285707]]&Vector{ComplexF64}[[-9.62964972193618e-35 + 0.9865779932451948im, -1.504632769052528e-36 + 0.032839010408794764im, 1.2037062152420224e-35 - 0.1115641960003097im, -1.2037062152420224e-35 - 0.6329453660992622im], [-9.62964972193618e-35 - 0.9865779932451948im, -1.504632769052528e-36 - 0.03283901040879478im, 3.009265538105056e-36 + 0.11156419600030973im, -1.8055593228630336e-35 + 0.6329453660992623im], [1.2580368690619401e-234 + 0.0im, 3.931365215818563e-236 + 0.0im, -1.2123275061960277e-235 + 0.0im, 4.0471534793371515e-235 + 0.0im], [-0.502198102223979 + 1.873544649899903e-30im, -0.0167160516645657 + 5.854827030937197e-32im, 0.056789557329579576 - 2.157041537713704e-31im, -0.3221883762285707 + 1.6640034719505718e-30im], [0.502198102223979 - 7.888609052210118e-30im, 0.016716051664565697 - 2.588449845256445e-31im, -0.05678955732957957 + 8.874685183736383e-31im, 0.3221883762285707 - 6.803925307531227e-30im]]&Any[0.10245034088924244, 0.052494904869231605, 0.052494904869231605]&Any[1, 0, 0]
11&1&false&1&3&1&false&1&true&Any[0, 1]&true&100&true&1&1&Any[0, 1]&true&Any[0, 1]&true&Variable[w111, w112, w113, w211]&4&81&13&5&23&3&Any[[-10.754907397654451, 0.028049644196222343, 0.20812505382232419, 0.37417872219643494], [10.75490739765445, -0.028049644196222464, -0.20812505382232477, -0.3741787221964349], [0.0, 0.0, 0.0, 0.0]]&Vector{ComplexF64}[[-10.754907397654451 + 3.0814879110195774e-33im, 0.028049644196222343 - 5.416677968589101e-35im, 0.20812505382232419 + 2.8888949165808538e-34im, 0.37417872219643494 + 9.62964972193618e-35im], [10.75490739765445 + 8.474091755303838e-33im, -0.028049644196222464 + 2.407412430484045e-35im, -0.20812505382232477 + 3.3703774026776627e-34im, -0.3741787221964349 + 2.6481536735324493e-34im], [0.0 - 2.948523911863922e-236im, 0.0 - 1.228551629943301e-237im, 0.0 - 1.2285516299433009e-236im, 0.0 - 6.142758149716505e-238im], [-9.244463733058732e-33 - 11.235412800018137im, 6.168994353115365e-35 + 0.02930284006972691im, 3.972230510298674e-34 + 0.21742361949390382im, 3.1296361596292583e-34 - 0.39089619737470926im], [2.465190328815662e-32 + 11.235412800018139im, -1.2037062152420224e-34 - 0.029302840069726895im, -6.162975822039155e-33 - 0.2174236194939036im, -1.5407439555097887e-33 + 0.3908961973747093im]]&Any[0.04906502471133649, 0.04906502471133651, 1.3572556863469667]&Any[0, 0, 1]
